geo\time	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 
AT11	3.61 	3.99 	3.37 	3.75 	3.74 	4.71 	4.20 b	4.29 bu	: u	3.16 bu	: u	: u
AT12	3.77 	3.65 	4.51 	4.70 	4.34 	4.69 	4.65 b	3.39 b	4.08 	4.00 b	3.73 	4.42 
AT13	6.19 	6.98 	6.85 	8.24 	7.88 	9.30 	7.81 b	6.20 b	7.01 	6.57 b	5.87 	5.70 
AT21	3.22 	3.86 	5.14 	5.03 	5.56 	5.30 	4.35 b	4.18 b	4.77 	4.29 b	4.82 	4.36 
AT22	4.45 	4.35 	4.01 	4.05 	3.61 	4.24 	5.34 b	3.82 b	3.63 	3.47 b	3.91 	3.71 
AT31	3.32 	3.90 	3.18 	3.77 	4.19 	4.43 	3.90 b	3.03 b	3.32 	3.42 b	3.10 	3.14 
AT32	3.54 	3.12 	3.32 	3.45 	4.16 	4.10 	4.78 b	2.80 bu	3.70 	3.08 b	3.33 	3.57 
AT33	2.52 	2.59 	3.09 	2.90 	2.85 	2.74 	3.04 b	3.11 b	2.91 	2.88 b	2.41 	2.79 
AT34	4.63 	4.12 	4.60 	4.21 	3.51 	2.68 	3.49 b	3.22 bu	3.51 u	3.17 bu	3.41 u	3.60 u
BE10	4.26 	4.68 	4.85 b	5.75 	5.05 	5.35 	5.84 	5.53 	4.25 	4.78 	5.01 	5.51 
BE21	4.28 	4.41 	3.23 b	4.71 	5.14 	5.55 	5.03 	4.88 	5.01 	5.15 	5.00 	4.27 
BE22	3.20 	3.54 	2.49 b	3.61 	5.05 	3.95 	4.11 	4.21 	4.44 	3.89 	3.99 	3.26 
BE23	4.49 	4.15 	4.47 b	5.29 	4.87 	4.50 	4.60 	4.61 	4.71 	4.87 	4.24 	4.58 
BE24	6.83 	6.39 	6.28 b	6.98 	7.98 	6.39 	6.53 	6.88 	6.83 	7.40 	7.66 	7.49 
BE25	3.39 	3.76 	3.30 b	3.43 	3.76 	3.19 	3.63 	3.53 	3.14 	2.98 	3.23 	3.51 
BE31	5.12 	4.73 	5.33 b	5.26 	5.70 	5.00 	6.06 	5.54 	4.93 	6.36 	5.91 	5.69 
BE32	4.88 	4.39 	3.79 b	3.58 	4.27 	4.13 	4.47 	3.92 	3.63 	3.76 	4.09 	3.49 
BE33	4.21 	3.96 	3.88 b	4.02 	3.73 	3.73 	3.76 	3.71 	3.30 	3.10 	3.84 	3.74 
BE34	3.90 u	4.62 u	3.90 bu	4.56 u	3.82 u	3.76 u	3.54 u	3.89 u	3.18 u	3.44 u	3.69 u	3.49 u
BE35	5.58 	4.20 	4.04 b	4.57 	4.00 	4.17 	5.00 	5.20 	4.11 	4.07 	4.50 	4.36 
BG11	: 	: 	: 	: u	: bu	: u	: 	: 	: 	: 	: 	: 
BG12	: 	: 	: 	2.49 	2.42 bu	2.83 	: 	: 	: 	: 	: 	: 
BG13	: 	: 	: 	2.17 u	2.61 b	1.95 u	: 	: 	: 	: 	: 	: 
BG21	: 	: 	: 	4.58 	5.07 b	4.95 	: 	: 	: 	: 	: 	: 
BG22	: 	: 	: 	2.43 	2.82 b	2.54 	: 	: 	: 	: 	: 	: 
BG23	: 	: 	: 	2.29 u	: bu	: u	: 	: 	: 	: 	: 	: 
BG31	: 	: 	: 	: 	: 	: 	2.52 u	2.58 u	2.00 u	2.37 bu	2.15 u	: 
BG32	: 	: 	: 	: 	: 	: 	2.48 u	2.00 u	2.44 u	2.20 bu	2.79 u	: 
BG33	: 	: 	: 	: 	: 	: 	1.63 u	1.87 u	1.77 u	1.54 bu	1.64 u	: 
BG34	: 	: 	: 	: 	: 	: 	2.49 	2.28 u	2.50 u	1.79 bu	1.29 u	: 
BG41	: 	: 	: 	: 	: 	: 	5.15 	5.55 	5.46 	5.41 b	5.72 	: 
BG42	: 	: 	: 	: 	: 	: 	2.46 	2.13 	2.19 	2.41 b	1.77 u	: 
CH01	: 	: 	: 	: 	7.56 	6.24 b	5.96 	5.44 	5.58 	5.23 b	5.58 	5.10 
CH02	: 	: 	: 	: 	9.12 	7.86 b	7.55 	7.53 	7.52 	7.51 b	7.94 	8.50 
CH03	: 	: 	: 	: 	7.00 	5.80 b	6.11 	5.75 	5.31 	6.05 b	6.40 	5.66 
CH04	: 	: 	: 	: 	7.33 	6.72 b	7.04 	7.01 	7.44 	6.74 b	6.24 	6.64 
CH05	: 	: 	: 	: 	4.91 	5.73 b	5.29 	5.59 	5.27 	4.74 b	4.29 	4.70 
CH06	: 	: 	: 	: 	4.17 	4.08 b	5.48 	5.53 	5.12 	5.49 b	5.49 	5.57 
CH07	: 	: 	: 	: 	3.57 u	3.99 b	4.37 	4.27 	4.67 	4.78 b	5.03 	4.82 
CY00	: 	: 	1.56 b	1.76 	1.89 	1.93 	2.15 	2.30 	2.21 	2.12 b	2.46 	2.27 
CZ01	: 	8.06 	6.97 	7.74 	8.34 b	7.52 	7.76 	8.25 	7.79 	7.01 b	7.74 	7.68 
CZ02	: 	4.42 	3.40 	3.32 	4.56 b	4.59 	4.27 	3.70 	4.93 	4.36 b	3.97 	4.70 
CZ03	: 	4.26 	4.37 	4.17 	4.56 b	4.57 	4.02 	4.43 	3.91 	4.68 b	5.14 	5.22 
CZ04	: 	3.03 	2.74 	2.61 	2.95 b	2.78 	2.96 	3.08 	3.58 	3.24 b	3.09 	3.53 
CZ05	: 	3.97 	4.27 	4.12 	4.62 b	4.47 	4.72 	4.90 	4.43 	4.61 b	4.61 	4.59 
