indic_na,unit,geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
B6N_U,PPCS_HAB,DE11	14738.3 i	15334.4 i	15763.7 i	16473.5 i	16998.8 i	17606.7 i	17720.1 i	18164.1 i	18680.5 i	19403.3 i	19983.2 i	20534.8 i
B6N_U,PPCS_HAB,DE12	14039.6 i	14528.4 i	14842.4 i	15568.8 i	16151.5 i	16804.2 i	16933.7 i	17313.1 i	17738.8 i	18392.6 i	18929.5 i	19395.0 i
B6N_U,PPCS_HAB,DE13	13655.5 i	14175.1 i	14512.1 i	15217.0 i	15723.8 i	16311.8 i	16535.9 i	17055.4 i	17579.6 i	18266.3 i	18813.6 i	19298.4 i
B6N_U,PPCS_HAB,DE14	13847.3 i	14434.7 i	14853.8 i	15582.1 i	16170.8 i	16854.7 i	16900.8 i	17249.3 i	17653.8 i	18363.8 i	18928.6 i	19457.1 i
B6N_U,PPCS_HAB,DE21	15354.4 i	15883.2 i	16447.5 i	17166.4 i	17643.7 i	18179.4 i	18303.1 i	18777.1 i	19358.6 i	20063.6 i	20653.2 i	20982.3 i
B6N_U,PPCS_HAB,DE22	12474.9 i	12743.1 i	13040.7 i	13571.9 i	13971.6 i	14439.5 i	14633.1 i	15169.8 i	15810.6 i	16403.5 i	17077.6 i	17592.2 i
B6N_U,PPCS_HAB,DE23	12626.8 i	12908.7 i	13202.0 i	13774.7 i	14247.0 i	14797.3 i	14918.9 i	15352.9 i	15826.7 i	16413.3 i	17017.0 i	17454.1 i
B6N_U,PPCS_HAB,DE24	13592.0 i	13832.5 i	14129.3 i	14583.0 i	14928.2 i	15330.2 i	15512.7 i	15985.6 i	16471.6 i	17134.1 i	17849.7 i	18387.0 i
B6N_U,PPCS_HAB,DE25	14254.3 i	14602.9 i	15007.2 i	15595.7 i	16051.2 i	16542.6 i	16645.4 i	17012.7 i	17437.9 i	18069.7 i	18678.3 i	19113.2 i
B6N_U,PPCS_HAB,DE26	13162.5 i	13376.8 i	13631.6 i	14204.3 i	14694.7 i	15242.9 i	15440.8 i	15925.7 i	16446.3 i	17094.7 i	17777.6 i	18275.6 i
B6N_U,PPCS_HAB,DE27	13518.6 i	13860.7 i	14228.3 i	14853.2 i	15353.3 i	15888.6 i	16070.0 i	16571.4 i	17140.0 i	17799.3 i	18491.2 i	18984.5 i
B6N_U,PPCS_HAB,DE30	12709.6 i	12740.4 i	12689.6 i	13264.9 i	13420.5 i	13476.7 i	13484.7 i	13771.0 i	14032.2 i	14446.6 i	14830.0 i	15048.8 i
B6N_U,PPCS_HAB,DE41	10916.9 i	11294.5 i	11525.9 i	12189.6 i	12576.0 i	12980.0 i	13048.3 i	13420.1 i	13915.1 i	14250.5 i	14695.7 i	15030.4 i
B6N_U,PPCS_HAB,DE42	11210.6 i	11542.6 i	11767.5 i	12400.2 i	12869.2 i	13234.9 i	13477.5 i	13807.8 i	14293.8 i	14654.0 i	15101.3 i	15429.2 i
B6N_U,PPCS_HAB,DE50	15385.5 i	16083.1 i	16464.1 i	17051.9 i	17765.1 i	18378.1 i	17965.6 i	18078.6 i	18192.8 i	19220.8 i	19806.5 i	20252.8 i
B6N_U,PPCS_HAB,DE60	15944.5 i	16395.5 i	16636.1 i	17253.9 i	18047.2 i	19066.1 i	19393.7 i	20171.4 i	21208.4 i	22355.6 i	22355.4 i	22920.2 i
B6N_U,PPCS_HAB,DE71	14424.2 i	14685.3 i	14937.1 i	15635.7 i	16098.8 i	16790.7 i	17041.0 i	17482.6 i	17992.5 i	18411.5 i	18926.6 i	19289.1 i
B6N_U,PPCS_HAB,DE72	12845.5 i	13001.5 i	13319.7 i	13998.0 i	14362.1 i	14942.9 i	15205.8 i	15674.9 i	16143.4 i	16678.3 i	17299.0 i	17628.8 i
B6N_U,PPCS_HAB,DE73	12588.7 i	12767.6 i	12988.2 i	13613.7 i	13988.7 i	14600.5 i	14917.5 i	15571.3 i	16007.2 i	16536.4 i	17103.0 i	17638.2 i
B6N_U,PPCS_HAB,DE80	10321.0 i	10675.2 i	10921.5 i	11625.0 i	12046.7 i	12410.9 i	12553.8 i	12865.0 i	13269.4 i	13719.2 i	14073.1 i	14330.8 i
B6N_U,PPCS_HAB,DE91	13117.2 i	13384.9 i	13602.9 i	14176.2 i	14538.4 i	14846.0 i	15214.7 i	15631.2 i	15831.0 i	16331.4 i	16702.3 i	17126.0 i
B6N_U,PPCS_HAB,DE92	13595.0 i	13897.4 i	14140.1 i	14801.0 i	15256.2 i	15631.0 i	15691.2 i	16093.0 i	16425.4 i	17009.9 i	17402.9 i	17819.0 i
B6N_U,PPCS_HAB,DE93	13607.4 i	13934.3 i	14128.3 i	14727.7 i	15179.9 i	15623.7 i	15597.6 i	16102.1 i	16665.8 i	17318.0 i	17751.7 i	18225.9 i
B6N_U,PPCS_HAB,DE94	12288.2 i	12618.8 i	12806.4 i	13481.0 i	13995.7 i	14440.2 i	14403.6 i	14812.1 i	15206.9 i	15739.1 i	16101.4 i	16492.9 i
B6N_U,PPCS_HAB,DEA1	14563.0 i	14952.8 i	15315.9 i	15876.2 i	16449.8 i	16966.3 i	17037.6 i	17357.5 i	17892.4 i	18507.9 i	18861.9 i	19288.5 i
B6N_U,PPCS_HAB,DEA2	14065.5 i	14480.7 i	14815.3 i	15459.7 i	16143.4 i	16742.7 i	16803.1 i	17110.9 i	17668.5 i	18203.3 i	18477.2 i	18861.8 i
B6N_U,PPCS_HAB,DEA3	13230.7 i	13649.7 i	14002.9 i	14544.8 i	15119.1 i	15643.0 i	15713.5 i	16052.4 i	16602.8 i	17157.5 i	17481.6 i	17859.5 i
B6N_U,PPCS_HAB,DEA4	14722.1 i	15176.8 i	15496.7 i	16079.4 i	16698.2 i	17280.9 i	17232.3 i	17475.3 i	17956.0 i	18636.0 i	19053.2 i	19517.0 i
B6N_U,PPCS_HAB,DEA5	13930.5 i	14290.5 i	14600.3 i	15164.5 i	15767.3 i	16320.3 i	16436.7 i	16821.3 i	17384.7 i	18028.6 i	18440.2 i	18898.4 i
