geo\time	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 
AT11	256.2 	266.8 	269.6 	271.4 	281.0 	289.7 	290.6 	305.2 	311.0 	320.4 	327.1 	339.8 
AT12	296.8 	304.2 	315.6 	329.4 	343.3 	353.2 	367.4 	377.7 	387.6 	394.8 	410.1 	419.2 
AT13	642.8 	600.6 	604.4 	612.0 	608.9 	612.3 	610.5 	621.5 	639.2 	641.3 	641.6 	650.9 
AT21	318.4 	320.1 	332.8 	339.9 	343.2 	349.4 	360.0 	363.0 	392.6 	400.8 	400.1 	404.6 
AT22	348.0 	360.0 	366.4 	374.3 	383.0 	389.4 	398.7 	412.0 	420.6 	433.6 	442.0 	451.4 
AT31	276.5 	286.6 	295.5 	307.1 	315.5 	324.7 	332.5 	345.4 	358.6 	368.0 	375.8 	387.6 
AT32	352.5 	360.9 	370.0 	382.7 	391.2 	403.7 	409.5 	425.0 	438.0 	456.9 	466.2 	479.0 
AT33	382.3 	394.6 	407.9 	418.2 	422.1 	435.0 	450.4 	464.5 	482.2 	486.1 	475.5 	486.2 
AT34	265.5 	270.7 	279.9 	289.0 	297.5 	301.6 	314.7 	319.1 	327.0 	337.0 	348.8 	355.3 
BE10	661.3 	695.4 	691.7 	617.2 b	622.5 	624.6 	609.3 	602.9 	590.3 	585.0 	592.3 	: 
BE21	329.3 	347.1 	345.3 	323.8 b	327.4 	330.5 	335.3 	336.8 	339.2 	340.7 	343.1 	: 
BE22	281.8 	273.5 	287.1 	291.9 b	295.3 	300.0 	299.7 	307.1 	306.4 	305.7 	309.4 	: 
BE23	337.3 	357.9 	354.6 	336.9 b	338.7 	345.3 	349.8 	352.1 	354.1 	355.6 	358.0 	: 
BE24	495.4 	496.9 	507.9 	493.6 b	502.0 	509.6 	515.2 	520.6 	519.4 	520.3 	527.5 	: 
BE25	300.9 	307.5 	315.8 	301.3 b	304.8 	312.6 	315.0 	318.0 	320.3 	320.5 	323.7 	: 
BE31	617.7 	641.9 	638.0 	598.5 b	607.5 	622.1 	629.8 	631.4 	636.0 	643.4 	650.9 	: 
BE32	325.5 	334.7 	330.7 	315.1 b	316.1 	318.8 	316.6 	316.7 	315.6 	319.1 	318.2 	: 
BE33	441.5 	431.7 	452.7 	447.6 b	450.4 	454.9 	454.5 	454.6 	453.1 	450.6 	452.4 	: 
BE34	307.2 	312.8 	329.6 	321.9 b	327.4 	322.3 	318.0 	318.3 	315.9 	315.1 	319.2 	: 
BE35	409.3 	383.9 	428.0 	408.5 b	411.0 	418.7 	419.6 	421.7 	423.2 	427.4 	433.8 	: 
BG31	306.7 	308.6 	329.7 	316.6 	325.0 	341.3 	346.0 	339.7 	353.1 	359.5 	362.4 	: 
BG32	248.2 	252.6 	263.1 	264.8 	275.6 	279.3 	277.2 	286.1 	283.1 	282.3 	286.6 	: 
BG33	326.8 	322.5 	295.6 	328.8 	349.6 	358.2 	352.2 	356.5 	356.8 	358.7 	363.7 	: 
BG34	281.2 	280.1 	301.9 	290.7 	297.8 	304.3 	307.5 	304.5 	303.1 	300.5 	300.8 	: 
BG41	448.5 	425.5 	411.8 	417.2 	420.0 	421.4 	412.7 	418.8 	406.9 	400.8 	404.6 	: 
BG42	285.1 	293.0 	292.8 	297.3 	299.6 	308.4 	314.3 	318.5 	323.3 	324.4 	329.2 	: 
CH01	: 	: 	: 	: 	: 	461.7 	465.4 	470.5 	478.9 	469.0 	461.5 b	463.1 
CH02	: 	: 	: 	: 	: 	332.6 	336.3 	342.1 	348.0 	348.0 	346.1 b	354.4 
CH03	: 	: 	: 	: 	: 	395.4 	398.4 	412.3 	408.6 	409.6 	407.9 b	413.1 
CH04	: 	: 	: 	: 	: 	456.4 	457.8 	458.2 	463.6 	464.1 	456.4 b	467.7 
CH05	: 	: 	: 	: 	: 	277.8 	283.4 	284.2 	294.7 	295.8 	296.6 b	301.4 
CH06	: 	: 	: 	: 	: 	251.6 	257.4 	260.0 	257.5 	261.7 	257.1 b	263.6 
CH07	: 	: 	: 	: 	: 	331.5 	335.4 	332.3 	338.9 	332.6 	330.9 b	335.4 
CZ01	: 	: 	: 	: 	: 	: 	661.6 	666.0 	676.4 	670.2 	656.0 	: 
CZ02	: 	: 	: 	: 	: 	: 	258.7 	261.8 	257.6 	250.4 	246.8 	: 
CZ03	: 	: 	: 	: 	: 	: 	339.8 	340.1 	338.6 	338.3 	333.2 	: 
CZ04	: 	: 	: 	: 	: 	: 	289.5 	291.5 	290.7 	287.2 	283.6 	: 
CZ05	: 	: 	: 	: 	: 	: 	308.8 	311.9 	311.5 	314.6 	313.3 	: 
CZ06	: 	: 	: 	: 	: 	: 	345.7 	354.0 	354.4 	353.2 	356.6 	: 
CZ07	: 	: 	: 	: 	: 	: 	314.9 	316.4 	319.9 	321.6 	325.1 	: 
CZ08	: 	: 	: 	: 	: 	: 	305.8 	308.3 	307.7 	308.3 	309.6 	: 
DK01	: 	: 	: 	: 	: 	: 	: 	: 	417.2 	434.9 	: 	: 
DK02	: 	: 	: 	: 	: 	: 	: 	: 	290.2 	251.3 	: 	: 
DK03	: 	: 	: 	: 	: 	: 	: 	: 	316.6 	319.6 	: 	: 
DK04	: 	: 	: 	: 	: 	: 	: 	: 	321.5 	327.9 	: 	: 
DK05	: 	: 	: 	: 	: 	: 	: 	: 	273.2 	273.5 	: 	: 
ES11	282.6 	257.0 	281.8 	382.4 	292.6 	262.4 	206.5 	331.1 b	414.8 	416.8 	310.3 	310.3 
ES12	206.2 	329.2 	338.6 	395.5 	339.6 	386.8 	254.9 	415.7 b	387.5 	311.6 	292.8 	453.3 
ES13	321.0 	244.8 	281.4 	448.7 	296.5 	220.1 	272.2 	502.5 b	372.6 	438.1 	416.4 	277.6 
ES21	280.2 	236.7 	260.1 	312.2 	421.5 	367.6 	347.1 	364.4 b	489.6 	416.1 	468.2 	285.6 
ES22	442.3 	439.0 	380.8 	269.8 	389.7 	541.0 	654.5 	611.9 b	436.1 	494.9 	309.2 	423.1 
ES23	226.2 	261.3 	405.9 	397.6 	177.3 	381.4 	305.8 	299.2 b	391.8 	673.6 	380.1 	411.8 
ES24	560.4 	535.1 	400.6 	357.2 	509.8 	480.1 	466.4 	357.5 b	368.4 	485.5 	601.3 	502.4 
ES30	372.4 	428.1 	460.7 	291.2 	305.0 	315.5 	402.0 	547.3 b	350.3 	368.4 	370.1 	441.6 
ES41	343.4 	361.2 	337.6 	435.9 	357.9 	361.5 	356.4 	351.2 b	301.7 	295.8 	294.8 	362.5 
ES42	209.4 	208.2 	258.5 	340.9 	223.4 	197.5 	226.2 	243.0 b	342.0 	323.6 	331.2 	370.8 
ES43	207.8 	208.1 	339.7 	359.1 	301.5 	393.9 	280.7 	252.0 b	260.6 	194.6 	240.6 	259.2 
ES51	278.2 	294.4 	334.1 	338.9 	294.2 	310.4 	340.5 	389.3 b	375.4 	373.0 	375.8 	344.3 
ES52	332.8 	349.1 	412.4 	396.3 	380.6 	311.3 	329.8 	301.6 b	348.8 	345.4 	324.5 	310.5 
ES53	325.4 	304.0 	223.5 	309.3 	430.3 	257.6 	334.0 	365.3 b	433.8 	306.2 	299.0 	439.2 
ES61	263.8 	306.6 	302.6 	304.3 	267.0 	325.7 	344.2 	341.3 b	323.3 	328.1 	293.2 	328.8 
ES62	309.0 	374.5 	461.9 	308.7 	373.1 	426.5 	261.5 	352.0 b	335.6 	481.7 	436.5 	374.1 
ES70	237.4 	232.3 	265.3 	269.8 	312.6 	262.8 	282.9 	302.0 b	370.6 	342.9 	337.1 	284.1 
FI13	267.7 	273.0 	274.4 	277.1 	277.2 	: 	: 	: 	: 	: 	: 	: 
FI20	214.6 	245.1 	228.9 	238.4 	236.1 	: 	: 	: 	: 	: 	: 	: 
FR10	423.4 	422.5 	419.9 	419.6 	420.0 	419.9 	418.4 	415.0 	412.6 	404.6 	400.6 	: 
FR21	261.2 	262.7 	266.6 	271.4 	274.2 	278.1 	283.2 	284.7 	284.3 	283.2 	281.8 	: 
FR22	240.3 	240.7 	248.9 	251.3 	255.7 	256.2 	260.0 	259.5 	258.3 	256.6 	255.1 	: 
FR23	262.4 	262.9 	264.8 	265.9 	269.0 	270.6 	273.4 	273.5 	273.1 	273.0 	270.7 	: 
FR24	260.7 	260.8 	264.2 	266.1 	267.0 	266.7 	268.0 	268.3 	267.7 	266.6 	265.3 	: 
FR25	263.7 	264.1 	266.7 	269.0 	271.8 	274.9 	276.4 	277.7 	279.0 	281.6 	282.5 	: 
FR26	271.4 	272.1 	275.9 	277.5 	279.8 	283.3 	286.0 	286.2 	286.4 	286.1 	283.9 	: 
FR30	278.5 	279.5 	283.4 	288.8 	293.2 	296.6 	300.1 	302.6 	302.5 	303.2 	304.9 	: 
FR41	292.3 	293.2 	293.4 	293.8 	295.7 	297.4 	299.8 	301.5 	301.7 	304.7 	303.8 	: 
FR42	340.6 	340.0 	340.8 	341.8 	342.4 	344.4 	346.1 	345.6 	347.7 	352.6 	353.9 	: 
FR43	283.3 	283.5 	285.3 	283.8 	288.6 	290.8 	293.6 	295.9 	295.3 	295.0 	294.5 	: 
FR51	265.5 	264.3 	266.4 	267.6 	270.4 	273.0 	275.0 	276.9 	276.7 	278.1 	279.9 	: 
FR52	296.9 	295.7 	296.6 	298.5 	302.4 	303.4 	304.8 	306.6 	305.9 	306.4 	308.9 	: 
FR53	281.5 	280.9 	285.2 	286.8 	287.8 	290.2 	292.1 	294.2 	292.9 	292.0 	291.8 	: 
FR61	343.9 	342.1 	340.5 	343.0 	345.5 	346.9 	349.1 	349.6 	349.9 	348.7 	349.7 	: 
FR62	358.8 	356.2 	355.4 	358.4 	360.3 	357.6 	355.6 	355.6 	353.8 	351.8 	351.4 	: 
