geo\time	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 
AT11	590.5 	589.0 	582.9 	589.6 	596.0 	563.7 	571.2 	566.5 	585.0 	590.9 	579.0 	: 
AT12	703.3 	696.5 	681.9 	677.1 	664.7 	660.1 	665.7 	666.2 	669.5 	691.1 	697.1 	: 
AT13	916.8 	903.3 	894.3 	875.8 	880.1 	861.2 	838.6 	815.5 	797.6 	806.3 	790.7 	: 
AT21	918.7 	920.8 	905.8 	907.8 	909.4 	921.2 	911.1 	920.0 	937.1 	945.1 	928.6 	: 
AT22	941.4 	921.0 	899.5 	884.6 	872.7 	867.2 	887.7 	877.3 	875.5 	903.3 	901.5 	: 
AT31	776.0 	768.9 	760.6 	756.1 	744.0 	737.4 	739.0 	753.3 	746.3 	742.3 	734.4 	: 
AT32	955.2 	955.9 	926.6 	920.5 	911.3 	918.8 	927.7 	917.4 	907.6 	952.6 	954.8 	: 
AT33	720.4 	701.6 	694.9 	688.2 	695.1 	691.7 	704.8 	695.7 	693.6 	685.8 	676.9 	: 
AT34	678.6 	650.7 	643.9 	620.6 	631.9 	619.3 	614.2 	603.8 	600.1 	594.6 	571.2 	: 
BE10	1014.2 	1012.5 	1002.1 	1013.1 	996.5 	983.5 	975.2 	975.2 	893.5 	879.6 	866.1 	: 
BE21	813.4 	808.9 	805.5 	794.1 	776.7 	769.6 	763.9 	757.1 	698.6 	692.2 	684.8 	: 
BE22	716.6 	713.4 	710.1 	694.0 	689.1 	678.0 	675.2 	670.4 	566.9 	563.0 	559.2 	: 
BE23	843.3 	837.2 	838.2 	831.6 	838.5 	834.2 	831.8 	827.9 	718.3 	710.5 	704.6 	: 
BE24	650.8 	631.3 	616.9 	606.5 	571.2 	571.3 	569.0 	568.4 	513.1 	508.6 	504.9 	: 
BE25	890.6 	885.0 	880.1 	872.6 	876.3 	868.7 	867.3 	862.5 	762.7 	755.2 	752.0 	: 
BE31	461.8 	457.9 	460.4 	394.6 	391.0 	388.0 	385.1 	381.8 	370.6 	366.6 	363.6 	: 
BE32	778.1 	782.0 	775.5 	758.5 	759.8 	746.9 	746.0 	736.5 	688.1 	683.5 	680.7 	: 
BE33	740.6 	738.1 	738.6 	734.2 	727.7 	725.4 	724.6 	721.5 	670.9 	660.2 	653.3 	: 
BE34	510.7 	510.3 	506.8 	511.0 	507.6 	497.0 	493.5 	497.3 	458.3 	458.3 	453.3 	: 
