geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
DE72	17.388 	33.205 	37.847 	41.632 	46.92 	35.015 	25.821 	28.351 	29.94 	25.784 	21.096 	11.848 p
DE73	7.452 	3.474 	3.401 	11.919 	8.573 	4.854 	7.852 	6.875 	10.69 	2.876 	13.289 	2.466 p
DE80	2.331 	2.652 	4.47 	5.604 	6.405 	5.57 	8.404 	3.703 	12.112 	7.275 	11.521 	8.856 p
DE91	19.421 	38.722 	34.932 	45.17 	32.079 	47.675 	37.388 	38.892 	32.245 	24.124 	17.195 	9.484 p
DE92	43.918 	48.832 	44.242 	72.341 	56.123 	53.514 	56.227 	57.669 	65.8 	49.967 	32.963 	26.849 p
DE93	8.844 	6.181 	14.674 	25.755 	22.238 	16.993 	12.587 	16.174 	27.202 	16.577 	21.037 	11.057 p
DE94	1.411 	1.613 	3.531 	4.456 	9.616 	4.508 	7.342 	8.419 	6.198 	8.081 	6.116 	4.201 p
DEA1	10.711 	15.98 	20.029 	25.334 	26.115 	23.634 	24.805 	21.094 	23.414 	20.077 	19.554 	15.986 p
DEA2	19.03 	23.02 	36.724 	59.051 	57.765 	67.641 	67.184 	48.307 	66.652 	59.538 	27.23 	17.299 p
DEA3	12.559 	14.475 	15.414 	15.943 	18.836 	18.681 	18.369 	13.136 	8.165 	14.155 	11.058 	5.597 p
DEA4	16.409 	18.637 	19.47 	36.158 	45.772 	38.044 	25.678 	27.637 	25.34 	20.338 	24.418 	13.644 p
DEA5	8.703 	14.232 	12.873 	18.463 	19.527 	19.049 	16.462 	15.863 	13.933 	9.379 	14.24 	7.234 p
DEB1	2.846 	7.188 	9.006 	14.951 	8.416 	10.121 	4.486 	7.541 	5.858 	12.818 	7.348 	4.042 p
DEB2	0.653 	5.909 	5.067 	8.07 	7.311 	6.624 	5.517 	1.947 	5.508 	7.862 	10.714 	7.755 p
DEB3	10.849 	21.362 	23.29 	37.804 	35.372 	48.571 	39.177 	30.371 	36.197 	31.999 	28.419 	16.183 p
DEC0	4.878 	8.606 	9.863 	11.357 	9.174 	9.769 	11.393 	8.16 	7.462 	7.128 	7.893 	8.273 p
DED1	1.89 	2.794 	4.412 	3.263 	8.481 	4.842 	1.809 	3.685 	1.881 	6.65 	7.546 	5.59 p
DED2	6.234 	19.18 	22.544 	29.989 	64.475 	62.555 	47.672 	27.71 	29.755 	39.108 	35.309 	22.684 p
DED3	2.896 	1.787 	4.075 	2.576 	8.731 	6.339 	12.261 	7.187 	6.59 	5.311 	6.88 	9.598 p
DEE0	3.622 	3.341 	4.871 	9.078 	9.774 	10.928 	13.807 	9 	6.663 	7.509 	11.39 	3.477 p
DEF0	12.427 	14.827 	16.677 	15.893 	18.565 	12.833 	17.135 	16.662 	15.022 	12.348 	14.836 	7.656 p
DEG0	8.495 	9.743 	11.896 	9.988 	20.306 	14.614 	18.421 	17.274 	20.546 	17.527 	16.114 	8.597 p
DK01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44.283 p
DK02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.837 p
DK03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.916 p
DK04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.656 p
DK05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.424 p
EE00	: 	0.235 	1.242 	1.269 	0.853 	2.802 	0.955 	5.479 	1.725 	2.597 	2.93 	4.268 p
ES11	0.052 	0.048 	0.371 	0.446 	0.373 	1.112 	0.742 	1.556 	0.739 	0.811 	1.534 	: 
ES12	: 	0.204 	0.121 	0.656 	1.251 	3.95 	2.354 	: 	: 	0.991 	0.945 	1.89 p
ES13	: 	: 	: 	: 	: 	2.195 	: 	0.241 	0.679 	0.599 	0.592 	: 
ES21	0.139 	0.752 	: 	: 	1.691 	2.408 	3.443 	1.317 	3.852 	2.059 	5.665 	1.648 p
ES22	0.543 	: 	4.914 	2.765 	3.658 	7.254 	4.084 	1.771 	4.659 	1.602 	3.4 	1.677 p
ES23	: 	: 	: 	: 	: 	: 	: 	3.545 	: 	1.699 	: 	: 
ES24	: 	: 	: 	0.836 	2.784 	2.52 	2.143 	0.682 	3.117 	6.015 	10.764 	1.568 p
ES30	3.836 	4.762 	8.996 	9.496 	7.478 	9.09 	8.087 	6.513 	10.653 	13.76 	11.951 	6.665 p
ES41	1.803 	1.101 	0.796 	2.258 	0.528 	2.44 	2.086 	0.704 	1.218 	1.43 	0.638 	0.402 p
ES42	0.376 	0.557 	: 	0.163 	: 	0.879 	: 	0.559 	0.324 	0.269 	1.057 	0.518 p
ES43	: 	: 	0.123 	: 	: 	1.255 	: 	: 	: 	: 	: 	: 
ES51	3.557 	3.736 	3.406 	6.246 	8.11 	6.407 	7.235 	7.819 	6.715 	6.82 	7.138 	4.731 p
ES52	0.873 	1.769 	0.855 	1.533 	2.671 	4.402 	2.51 	3.483 	2.847 	2.725 	3.376 	0.759 p
ES53	1.327 	: 	1.286 	0.175 	0.73 	0.259 	: 	: 	1.792 	: 	0.335 	0.986 p
ES61	0.445 	0.462 	0.836 	1.863 	1.381 	1.313 	3.205 	1.353 	0.477 	1.085 	2.068 	0.419 p
ES62	0.355 	0.676 	: 	: 	1.672 	1.993 	1.944 	: 	0.134 	1.154 	1.123 	1.824 p
ES70	: 	: 	: 	: 	0.596 	: 	: 	0.548 	: 	: 	0.512 	0.626 p
FI13	1.887 	5.346 	11.192 	5.236 	11.163 	11.955 	10.524 	3.228 	20.423 	7.99 	8.612 	5.417 p
FI18	81.289 	95.468 	111.517 	166.931 	158.159 	159.843 	146.921 	135.169 	154.424 	143.727 	130.475 	53.138 p
FI19	34.196 	45.734 	65.918 	106.767 	109.041 	110.145 	115.185 	111.238 	140.669 	115.712 	97.497 	26.229 p
FI1A	81.636 	136.26 	114.243 	144.402 	121.709 	99.106 	101.359 	95.19 	107.748 	120.044 	117.793 	49.837 p
FI20	: 	: 	: 	: 	38.901 	: 	: 	: 	37.955 	: 	: 	: 
FR10	45.624 	60.751 	72.708 	83.703 	79.12 	78.074 	71.089 	70.523 	75.127 	64.083 	65.32 	40.631 p
FR21	: 	1.981 	2.748 	2.33 	1.073 	1.639 	2.422 	3.17 	0.746 	1.62 	1.628 	: 
FR22	1.982 	7.837 	6.373 	3.638 	1.6 	4.746 	2.123 	1.905 	6.037 	5.707 	2.602 	1.042 p
FR23	10.55 	9.334 	4.232 	5.094 	4.119 	3.588 	2.034 	4.633 	2.609 	3.321 	9.171 	2.565 p
FR24	12.28 	10.247 	15.831 	16.146 	11.722 	10.862 	10.101 	12.889 	11.583 	11.455 	7.1 	6.585 p
FR25	4.839 	3.764 	9.283 	9.691 	13.168 	13.984 	13.103 	26.183 	24.962 	15.305 	16.536 	8.895 p
FR26	3.839 	1.908 	10.16 	7.313 	10.336 	10.72 	7.847 	13.451 	10.176 	5.178 	2.431 	2.956 p
FR30	2.448 	4.133 	3.496 	6.311 	4.345 	4.444 	3.875 	3.625 	4.411 	3.041 	4.245 	2.086 p
FR41	4.936 	6.834 	7.818 	5.875 	3.404 	3.614 	3.78 	1.47 	4.867 	1.814 	3.819 	1.923 p
FR42	18.954 	15.122 	22.785 	33.014 	25.115 	19.361 	19.847 	17.145 	15.962 	13.186 	24.566 	10.01 p
FR43	3.394 	15.25 	14.965 	12.173 	9.211 	10.322 	7.822 	8.072 	4.446 	5.237 	4.015 	2.158 p
FR51	2.045 	2.438 	4.212 	4.832 	5.405 	7.295 	6.381 	7.611 	8.382 	10.558 	6.379 	6.331 p
FR52	13.95 	21.638 	32.414 	37.833 	53.819 	63.287 	62.369 	73.746 	63.074 	73.877 	73.607 	44.246 p
FR53	0.616 	4.834 	3.413 	2.61 	5.344 	1.757 	0.938 	6.594 	3.928 	2.863 	3.695 	2.385 p
FR61	1.875 	3.309 	1.828 	2.639 	3.443 	3.834 	3.237 	2.464 	6.201 	4.336 	9.238 	4.354 p
FR62	16.103 	19.601 	25.002 	28.13 	32.029 	35.65 	35.25 	33.908 	38.883 	50.972 	53.972 	18.071 p
FR63	: 	: 	: 	1.687 	2.075 	1.16 	2.296 	5.919 	1.312 	1.608 	4.269 	4.261 p
FR71	31.741 	33.889 	41.455 	49.188 	42.094 	54.932 	63.03 	50.661 	47.108 	51.863 	41.687 	30.348 p
FR72	3.623 	4.007 	4.467 	7.294 	10.014 	7.409 	8.744 	4.73 	9.359 	4.565 	11.288 	3.651 p
FR81	4.934 	4.482 	8.735 	10.072 	8.479 	11.795 	8.883 	9.602 	11.87 	11.935 	8.413 	4.108 p
