geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
AT11	22.315 	57.284 	38.851 	56.589 	71.355 	52.255 	45.65 	81.507 	78.795 	60.748 	99.13 	77.411 p
AT12	80.871 	94.106 	118.787 	101.741 	115.153 	113.01 	118 	125.569 	136.654 	150.056 	160.177 	79.978 p
AT13	97.927 	102.977 	94.576 	135.775 	118.557 	144.444 	166.817 	184.745 	190.088 	183.031 	229.75 	116.425 p
AT21	62.01 	110.908 	70.89 	128.16 	105.191 	81.705 	143.624 	101.732 	95.264 	123.898 	104.707 	79.89 p
AT22	80.79 	116.311 	107.277 	135.519 	148.927 	146.646 	158.377 	174.664 	168.424 	157.414 	208.985 	112.525 p
AT31	126.207 	159.803 	164.432 	153.237 	184.857 	185.058 	193.33 	181.558 	212.506 	214.071 	239.665 	161.741 p
AT32	106.384 	86.408 	118.421 	113.04 	147.332 	137.554 	122.135 	161.25 	158.171 	158.949 	193.229 	166.544 p
AT33	77.414 	90.544 	110.658 	121.358 	123.828 	164.157 	145.893 	144.954 	156.003 	163.886 	160.835 	140.795 p
AT34	218.378 	338.154 	291.625 	315.229 	421.138 	379.86 	322.315 	342.776 	414.795 	487.094 	443.262 	353.969 p
BE10	73.841 	126.952 	97.212 	128.89 	127.674 	130.371 	96.199 	96.256 	130.933 	85.493 	113.859 	71.867 p
BE21	164.31 	172.997 	176.267 	148.157 	156.408 	150.773 	191.994 	162.481 	194.336 	196.302 	194.025 	112.98 p
BE22	57.977 	77.76 	60.299 	76.966 	77.694 	83.431 	74.219 	116.195 	76.075 	99.279 	109.346 	87.459 p
BE23	62.562 	94.151 	107.523 	119.511 	111.007 	95.829 	132.814 	126.579 	151.457 	140.565 	132.434 	94.582 p
BE24	141.105 	182.553 	186.56 	236.292 	192.48 	180.125 	177.832 	206.044 	206.008 	223.302 	204.313 	161.63 p
BE25	78.123 	100.455 	95.117 	102.822 	91.046 	94.333 	104.524 	96.32 	128.13 	108.915 	109.514 	65.941 p
BE31	125.936 	245.019 	340.747 	484.683 	366.864 	313.904 	298.136 	245.187 	309.966 	346.01 	301.489 	165.929 p
BE32	31.765 	49.963 	43.445 	59.074 	72.124 	49.319 	63.573 	68.315 	76.972 	67.046 	90.134 	39.989 p
BE33	76.322 	73.581 	73.006 	79.381 	113.758 	121.838 	95.105 	115.476 	113.811 	91.207 	92.147 	60.272 p
BE34	31.781 	47.83 	65.507 	104.96 	125.517 	74.573 	69.687 	142.333 	143.279 	108.28 	84.511 	98.324 p
BE35	48.912 	60.376 	59.449 	82.365 	85.131 	47.261 	74.122 	83.527 	65.849 	83.731 	73.009 	27.858 p
BG31	0.883 	: 	: 	: 	: 	1.04 	0.976 	0.496 	1.009 	1.539 	1.044 	0.265 p
BG32	: 	0.929 	0.563 	0.104 	: 	0.99 	1.581 	4.096 	: 	: 	1.401 	: 
BG33	: 	: 	: 	0.968 	: 	1.474 	1.963 	0.988 	2.982 	4.323 	2.006 	1.006 p
BG41	1.079 	3.086 	3.265 	3.128 	2.842 	4.218 	4.29 	4.396 	6.057 	6.686 	8.873 	2.258 p
BG42	0.582 	: 	: 	: 	0.671 	0.793 	0.312 	1.698 	0.633 	1.604 	1.813 	: 
CY00	2.788 	5.133 	2.962 	7.6 	10.427 	22.622 	9.326 	11.005 	8.215 	21.41 	9.564 	11.455 p
CZ01	5.563 	7.394 	11.412 	7.878 	13.018 	19.092 	18.533 	20.56 	27.977 	22.493 	31.161 	19.678 p
CZ02	3.298 	5.383 	3.49 	3.004 	1.953 	4.995 	8.034 	7.939 	8.681 	13.094 	18.625 	9.649 p
CZ03	0.804 	4.979 	3.67 	8.608 	1.061 	7.527 	7.41 	5.007 	4.738 	7.913 	9.243 	6.534 p
CZ04	1.478 	0.566 	1.972 	0.999 	2.5 	1.768 	0.445 	3.719 	2.222 	4.686 	4.302 	2.438 p
CZ05	4.146 	5.187 	13.765 	3.495 	9.01 	5.892 	11.881 	16.205 	15.89 	15.282 	15.249 	13.023 p
CZ06	2.488 	4.727 	8.565 	5.908 	7.988 	5.464 	11.279 	17.11 	8.463 	9.656 	15.63 	11.428 p
CZ07	3.209 	1.919 	3.418 	6.298 	6.635 	5.085 	2.743 	5.383 	8.085 	2.472 	12.625 	5.53 p
CZ08	3.336 	2.913 	2.784 	9.3 	7.328 	5.962 	6.059 	9.733 	10.188 	5.431 	7.228 	2.449 p
DE11	434.01 	504.459 	534.265 	582.614 	651.833 	686.111 	662.559 	638.271 	648.691 	645.895 	646.85 	413.519 p
DE12	291.186 	344.195 	401.638 	381.966 	407.906 	445.35 	465.244 	500.036 	526.301 	539.191 	547.193 	322.921 p
DE13	329.49 	337.41 	381.797 	395.061 	395.485 	376.1 	428.129 	459.202 	451.475 	510.598 	497.611 	323.467 p
DE14	300.304 	365.741 	372.599 	406.935 	403.448 	446.131 	490.459 	445.651 	511.716 	522.158 	559.495 	345.649 p
DE21	443.418 	499.279 	625.932 	614.651 	671.971 	635.325 	557.739 	549.717 	569.368 	576.253 	596.117 	379.247 p
DE22	112.202 	134.779 	149.148 	165.507 	167.523 	155.628 	151.476 	128.698 	191.616 	180.767 	192.051 	156.154 p
DE23	219.607 	279.345 	299.483 	298.123 	353.762 	333.038 	340.684 	355.156 	392.384 	370.718 	394.193 	270.852 p
DE24	137.211 	170.32 	188.125 	210.982 	222.438 	190.029 	224.854 	216.159 	214.721 	252.173 	283.941 	196.743 p
DE25	289.59 	345.055 	361.326 	405.931 	472.137 	461.024 	467.303 	402.173 	459.588 	500.178 	533.396 	353.838 p
DE26	246.59 	270.638 	279.059 	301.715 	345.793 	397.57 	373.365 	347.512 	450.146 	383.719 	409.018 	297.023 p
DE27	231.099 	258.724 	259.504 	278.697 	304.593 	270.462 	329.489 	302.511 	310.129 	337.214 	327.935 	285.024 p
DE30	111.125 	122.113 	132.455 	149.887 	173.421 	151.864 	161.954 	161.687 	173.765 	197.628 	207.411 	129.69 p
DE41	22.574 	42.275 	49.291 	45.616 	: 	62.061 	57.051 	64.998 	64.6 	79.516 	88.607 	56.807 p
DE42	40.385 	52.474 	60.481 	66.707 	: 	77.803 	88.443 	88.398 	96.857 	110.153 	122.037 	83.777 p
DE50	43.78 	61.688 	72.446 	84.495 	73.326 	89.984 	53.619 	100.907 	102.393 	98.385 	115.665 	58.631 p
DE60	161.953 	177.478 	159.838 	161.868 	184.081 	214.546 	195.544 	207.045 	209.517 	217.762 	206.237 	118.887 p
DE71	352.883 	360.99 	410.847 	402.24 	433.683 	374.974 	379.302 	359.822 	400.165 	396.095 	381.967 	254.422 p
DE72	180.513 	197.639 	236.094 	230.491 	244.541 	238.807 	228.248 	219.578 	235.943 	256.843 	217.097 	137.071 p
DE73	72.183 	96.276 	104.693 	118.457 	99.377 	111.586 	94.791 	106.625 	111.319 	109.916 	158.072 	121.52 p
DE80	11.475 	15.661 	23.625 	32.501 	33.873 	34.629 	29.411 	42.181 	50.704 	38.182 	55.715 	34.881 p
DE91	157.808 	217.738 	323.402 	368.406 	235.878 	224.445 	217.684 	213.869 	178.997 	182.703 	182.134 	115.326 p
DE92	175.122 	197.318 	200.507 	221.519 	208.463 	215.808 	203.53 	241.974 	223.639 	228.074 	209.398 	150.232 p
DE93	103.038 	116.431 	152.921 	155.253 	146.256 	139.142 	123.04 	147.17 	158.328 	143.126 	171.536 	101.025 p
DE94	64.165 	82.843 	89.46 	112.195 	111.114 	108.348 	106.666 	117.599 	124.305 	138.23 	115.833 	79.731 p
