geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 
AT11	3.2 s	1.7 s	4.8 s	1.2 s	4.0 s	0.9 s	2.2 s	3.5 s	: 	: 
AT12	5.0 s	-0.9 s	1.2 s	1.8 s	4.7 s	1.5 s	4.6 s	5.0 s	: 	: 
AT13	2.8 s	1.0 s	2.7 s	0.0 s	0.7 s	2.1 s	3.4 s	3.1 s	: 	: 
AT21	1.8 s	1.4 s	1.5 s	0.4 s	3.7 s	2.5 s	4.6 s	3.6 s	: 	: 
AT22	3.1 s	1.6 s	-0.1 s	2.1 s	3.6 s	3.1 s	4.0 s	3.9 s	: 	: 
AT31	4.2 s	1.0 s	1.9 s	1.4 s	2.9 s	4.1 s	3.7 s	4.3 s	: 	: 
AT32	3.2 s	-0.5 s	0.9 s	1.3 s	3.7 s	2.2 s	4.7 s	5.2 s	: 	: 
AT33	4.5 s	1.8 s	2.1 s	1.6 s	2.4 s	4.8 s	4.6 s	3.9 s	: 	: 
AT34	4.6 s	2.3 s	2.7 s	0.0 s	3.3 s	2.9 s	4.9 s	4.2 s	: 	: 
BE10	3.3 	2.5 	2.7 	0.3 	1.9 	2.4 	2.3 	1.6 	0.9 	-0.5 
BE21	3.8 	-1.0 	2.3 	0.1 	3.3 	2.6 	1.5 	2.9 	1.8 	-3.4 
BE22	4.8 	1.3 	0.6 	0.9 	1.0 	0.1 	3.5 	4.5 	2.0 	-4.7 
BE23	3.3 	1.6 	2.1 	2.2 	3.2 	1.3 	2.5 	4.1 	0.5 	-2.8 
BE24	3.1 	3.3 	-1.1 	1.3 	3.6 	1.7 	3.9 	3.8 	0.3 	-3.0 
BE25	3.2 	0.7 	0.0 	0.8 	2.7 	1.3 	4.0 	3.7 	0.5 	-3.7 
BE31	7.9 	3.7 	3.2 	2.0 	6.9 	1.8 	2.2 	1.4 	4.7 	-1.0 
BE32	3.1 	1.5 	-0.8 	2.6 	1.9 	1.2 	1.5 	1.8 	2.5 	-4.3 
BE33	2.4 	1.3 	0.0 	0.5 	2.1 	1.0 	2.2 	2.9 	1.5 	-3.5 
BE34	4.3 	-1.4 	2.2 	0.4 	3.2 	3.0 	3.7 	1.1 	0.0 	-3.0 
BE35	3.7 	1.3 	1.5 	1.8 	2.2 	1.4 	3.0 	2.2 	1.5 	-1.8 
BG31	: 	0.6 	-1.6 	0.8 	-2.7 	2.5 	-4.1 	3.0 	: 	: 
BG32	6.4 	3.4 	6.9 	-2.9 	1.8 	3.7 	-0.7 	1.7 	: 	: 
BG33	9.1 	0.7 	1.5 	5.3 	4.7 	3.8 	6.1 	4.5 	: 	: 
BG34	1.1 	-5.3 	-2.4 	7.1 	5.4 	6.4 	-3.2 	0.3 	: 	: 
BG41	1.4 	10.8 	9.2 	4.2 	7.1 	7.0 	12.4 	12.2 	: 	: 
BG42	5.6 	3.1 	1.1 	8.2 	5.9 	3.6 	5.9 	0.6 	: 	: 
CY00	5.0 	4.0 	2.1 	1.9 	4.2 	3.9 	4.1 	5.1 	: 	: 
CZ01	4.3 	6.0 	1.0 	3.1 	3.8 	6.8 	7.3 	9.5 	2.4 	-0.7 
CZ02	5.3 	3.0 	7.1 	2.4 	6.5 	6.4 	14.1 	7.7 	7.1 	-3.6 
CZ03	4.0 	1.4 	2.0 	3.3 	7.1 	6.3 	7.6 	1.5 	-1.7 	-3.7 
CZ04	2.0 	-2.0 	3.3 	5.0 	1.2 	4.6 	5.4 	2.1 	2.0 	-6.1 
CZ05	4.7 	0.5 	2.6 	0.9 	4.8 	7.5 	6.0 	4.9 	3.1 	-6.8 
CZ06	3.9 	3.7 	2.2 	3.3 	3.5 	6.4 	8.5 	5.8 	5.2 	-6.2 
CZ07	3.4 	1.1 	3.0 	2.4 	5.5 	6.0 	7.4 	5.6 	5.9 	-6.6 
CZ08	1.8 	1.5 	1.2 	3.3 	4.3 	7.7 	4.2 	4.7 	3.3 	-7.6 
DE30	1.5 	-0.9 	-1.4 	-2.1 	-1.6 	1.3 	3.6 	3.4 	3.8 	-1.1 
DE50	4.7 	1.4 	1.5 	0.8 	0.5 	2.1 	4.2 	2.3 	1.5 	-3.9 
DE60	4.4 	4.3 	0.5 	-2.9 	0.8 	0.8 	2.1 	2.0 	2.3 	-4.1 
DE80	0.8 	0.5 	0.3 	-0.1 	2.0 	0.9 	2.2 	3.7 	2.4 	-3.0 
DEC0	5.0 	1.6 	-0.9 	-0.6 	4.0 	3.5 	3.0 	1.6 	0.8 	-8.0 
DEF0	3.3 	1.3 	-1.7 	0.3 	1.5 	0.5 	3.1 	1.5 	2.4 	-2.3 
DEG0	2.5 	1.7 	0.6 	1.9 	2.5 	0.6 	3.6 	3.1 	-0.7 	-4.4 
DK01	5.3 	0.8 	-1.5 	1.5 	1.4 	3.8 	2.3 	2.5 	0.5 	-2.7 
DK02	3.4 	1.5 	0.0 	-0.1 	2.3 	1.5 	1.7 	0.4 	-0.5 	-4.0 
DK03	2.8 	0.3 	0.4 	0.2 	1.7 	-0.5 	5.1 	2.5 	-1.2 	-7.1 
DK04	4.2 	1.2 	1.9 	-0.7 	2.0 	0.2 	5.1 	1.9 	-0.3 	-4.6 
DK05	4.6 	0.5 	2.4 	0.0 	-0.7 	1.1 	4.5 	2.1 	-0.3 	-5.9 
EE00	10.1 	7.4 	7.7 	7.3 	6.7 	9.5 	9.6 	6.7 	: 	: 
ES11	: 	2.8 	2.2 	2.3 	3.4 	3.1 	4.3 	4.3 	1.9 	-2.9 
ES12	: 	3.5 	2.0 	2.1 	2.1 	2.9 	4.4 	3.7 	1.3 	-3.9 
ES13	: 	4.8 	3.3 	1.7 	2.8 	3.5 	4.0 	3.9 	1.3 	-3.3 
ES21	: 	3.4 	1.7 	2.2 	3.0 	3.6 	4.0 	3.9 	1.6 	-3.5 
ES22	: 	2.7 	2.7 	2.7 	3.4 	3.0 	4.1 	4.1 	2.1 	-2.3 
ES23	: 	2.3 	1.9 	3.4 	3.2 	3.2 	4.2 	4.3 	1.7 	-3.3 
ES24	: 	2.8 	3.6 	2.8 	2.8 	3.2 	4.2 	4.8 	1.1 	-4.3 
ES30	: 	4.1 	2.2 	2.7 	3.5 	4.0 	4.3 	3.7 	1.2 	-3.1 
ES41	: 	2.6 	3.2 	2.8 	2.9 	3.0 	3.9 	4.3 	1.1 	-3.1 
ES42	: 	3.2 	3.5 	3.1 	3.0 	3.0 	4.5 	5.0 	1.7 	-3.0 
ES43	: 	3.0 	3.7 	3.2 	3.3 	3.5 	4.2 	4.7 	2.0 	-2.0 
ES51	: 	3.8 	2.2 	2.6 	3.2 	3.0 	3.9 	3.6 	0.4 	-4.0 
ES52	: 	4.6 	2.6 	2.2 	3.0 	3.2 	4.0 	3.5 	1.0 	-4.2 
ES53	: 	2.7 	0.8 	1.1 	2.3 	3.2 	3.2 	3.7 	1.5 	-3.6 
ES61	: 	3.6 	3.3 	3.8 	3.5 	3.4 	4.1 	3.9 	0.8 	-3.4 
ES62	: 	4.4 	3.7 	3.7 	3.0 	4.0 	4.3 	4.5 	1.8 	-3.2 
ES63	: 	2.9 	2.6 	4.5 	2.8 	2.6 	2.7 	3.9 	3.0 	-1.5 
ES64	: 	2.8 	1.9 	4.1 	3.4 	3.8 	3.9 	3.2 	2.7 	-1.0 
ES70	: 	4.9 	2.7 	3.4 	2.3 	2.8 	3.1 	3.6 	0.5 	-4.0 
FI13	3.9 	1.1 	-0.6 	1.9 	2.8 	2.6 	2.7 	4.0 	0.3 	: 
FI18	6.3 	2.8 	1.0 	0.1 	4.3 	2.6 	4.6 	6.2 	0.4 	: 
FI19	4.6 	4.2 	1.0 	1.9 	3.2 	3.7 	3.6 	7.5 	1.0 	: 
FI1A	10.4 	-3.3 	7.8 	4.9 	5.2 	1.5 	5.1 	4.7 	2.9 	: 
FI20	-5.9 	11.6 	-2.1 	-2.3 	2.2 	3.5 	1.4 	-0.3 	-1.1 	: 
FR10	4.4 	1.2 	1.5 	1.8 	0.7 	2.7 	1.6 	4.2 	0.5 	: 
FR21	3.2 	-2.0 	0.3 	-3.1 	8.1 	-0.8 	1.1 	1.7 	-0.1 	: 
FR22	1.3 	0.9 	0.6 	-0.2 	1.6 	1.0 	0.1 	2.2 	-0.3 	: 
FR23	3.5 	1.7 	-0.8 	0.2 	2.9 	1.0 	1.2 	2.8 	-0.1 	: 
FR24	3.3 	1.9 	0.9 	1.3 	1.9 	0.7 	1.6 	1.8 	0.4 	: 
FR25	1.7 	0.9 	2.3 	-0.5 	3.1 	-0.3 	2.1 	0.7 	-0.8 	: 
FR26	3.2 	-0.2 	0.8 	-0.8 	4.0 	-0.1 	1.8 	1.9 	0.1 	: 
FR30	2.7 	0.9 	1.2 	1.3 	1.9 	1.4 	2.7 	2.4 	0.3 	: 
FR41	3.7 	1.4 	0.3 	0.1 	3.1 	-0.1 	1.0 	1.2 	-1.2 	: 
FR42	3.6 	0.6 	0.2 	-0.4 	2.7 	0.0 	1.9 	3.3 	0.0 	: 
FR43	6.0 	2.2 	0.4 	-0.6 	2.5 	-0.2 	0.2 	0.7 	-0.9 	: 
FR51	5.0 	2.9 	1.2 	1.2 	3.1 	2.3 	1.4 	2.6 	0.9 	: 
FR52	5.4 	1.7 	0.7 	1.5 	5.3 	2.9 	2.2 	0.6 	0.4 	: 
FR53	4.0 	1.8 	2.1 	0.9 	4.0 	0.8 	1.6 	2.4 	0.2 	: 
FR61	4.9 	4.2 	2.2 	-1.0 	3.0 	2.4 	3.2 	1.6 	0.9 	: 
FR62	3.0 	4.6 	1.3 	2.2 	2.1 	3.7 	4.8 	-0.8 	1.3 	: 
FR63	3.9 	1.8 	2.7 	-1.0 	1.2 	2.4 	1.8 	0.5 	0.5 	: 
FR71	4.3 	2.2 	0.1 	2.0 	3.2 	1.6 	3.6 	1.5 	0.4 	: 
FR72	2.4 	0.6 	1.3 	0.7 	2.6 	1.3 	1.2 	2.3 	0.3 	: 
FR81	3.5 	3.5 	1.6 	1.4 	3.8 	1.5 	3.7 	1.9 	-0.3 	: 
FR82	5.8 	3.1 	0.3 	1.5 	3.8 	2.8 	2.4 	1.2 	1.4 	: 
FR83	4.1 	4.0 	0.0 	1.2 	4.0 	3.9 	4.5 	2.6 	2.4 	: 
GR11	: i	4.4 is	-2.8 is	3.9 is	4.6 is	2.3 s	2.7 s	2.8 ps	: 	: 
GR12	: i	1.1 is	1.2 is	4.7 is	6.2 is	2.2 s	4.1 s	0.7 ps	: 	: 
GR13	: i	0.4 is	5.6 is	3.2 is	2.2 is	6.6 s	5.2 s	0.0 ps	: 	: 
GR14	: i	3.2 is	1.3 is	7.9 is	3.2 is	0.0 s	3.5 s	0.7 ps	: 	: 
GR21	: i	3.5 is	-0.2 is	6.1 is	6.1 is	0.2 s	8.3 s	-0.2 ps	: 	: 
GR22	: i	7.3 is	2.1 is	4.8 is	0.2 is	3.5 s	5.8 s	2.1 ps	: 	: 
GR23	: i	1.9 is	2.2 is	5.7 is	1.5 is	3.0 s	4.0 s	1.4 ps	: 	: 
GR24	: i	-0.2 is	-5.5 is	1.8 is	4.2 is	4.0 s	3.2 s	-2.7 ps	: 	: 
GR25	: i	-1.6 is	-4.6 is	6.9 is	3.6 is	5.7 s	5.7 s	1.2 ps	: 	: 
GR30	: i	5.5 is	8.5 is	8.1 is	7.0 is	2.3 s	1.5 s	8.1 ps	: 	: 
GR41	: i	6.8 is	-1.0 is	9.5 is	1.2 is	2.1 s	8.9 s	-1.6 ps	: 	: 
GR42	: i	2.5 is	0.6 is	7.2 is	0.3 is	-0.3 s	9.2 s	1.4 ps	: 	: 
GR43	: i	4.1 is	7.2 is	1.9 is	3.9 is	1.0 s	6.5 s	2.9 ps	: 	: 
HU10	6.0 s	5.7 s	7.4 s	1.7 s	4.8 s	6.5 s	6.8 s	0.7 s	: 	: 
HU21	6.5 s	2.2 s	-2.4 s	9.3 s	7.5 s	2.6 s	0.4 s	5.1 s	: 	: 
