geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 
AT11	: 	6.4 	7.7 	8.7 	8.3 	8.2 	9.9 	10.1 	10.8 	11.9 
AT12	: 	6.2 	6.6 	7.1 	7.4 	7.4 	8.1 	8.5 	13.0 	15.4 
AT13	: 	163.6 	137.6 	129.8 	126.1 	117.6 	123.5 	127.0 	127.7 	132.8 
AT21	: 	26.2 	21.8 	22.0 	22.7 	22.9 	24.2 	25.9 	31.4 	35.2 
AT22	: 	69.4 	54.7 	53.0 	53.8 	53.6 	57.4 	58.5 	60.0 	64.9 
AT31	: 	24.8 	22.2 	20.8 	21.9 	21.9 	23.2 	24.0 	26.2 	30.2 
AT32	: 	49.6 	43.0 	42.8 	42.9 	42.2 	45.2 	47.5 	52.9 	58.2 
AT33	: 	73.3 	60.5 	58.6 	58.7 	57.7 	59.5 	61.4 	64.5 	68.4 
AT34	: 	5.9 	6.4 	6.8 	6.8 	6.6 	6.2 	6.2 	7.3 	9.7 
BE10	131.2 	126.1 	126.0 	108.4 	120.0 	119.5 	123.2 	120.7 	122.5 	: 
BE21	45.7 	46.0 	45.7 	47.6 	47.4 	47.5 	48.7 	49.1 	49.8 	: 
BE22	30.5 	31.5 	32.2 	32.8 	33.2 	34.0 	35.0 	35.7 	35.5 	: 
BE23	62.4 	62.4 	63.6 	66.9 	69.3 	70.7 	75.1 	77.6 	80.8 	: 
BE24	59.5 	59.6 	59.9 	61.8 	63.1 	63.6 	67.3 	67.2 	69.0 	: 
BE25	20.6 	22.4 	23.2 	25.0 	26.3 	26.5 	28.4 	28.7 	28.4 	: 
BE31	102.9 	102.8 	104.2 	: u	111.1 	110.9 	114.3 	108.0 	113.7 	: 
BE32	39.8 	41.1 	42.6 	: u	43.7 	43.8 	45.5 	44.8 	43.9 	: 
BE33	63.6 	62.4 	62.8 	: u	62.2 	61.8 	66.0 	64.9 	64.6 	: 
BE34	23.6 	23.0 	24.2 	: u	24.5 	24.3 	24.9 	22.5 	23.4 	: 
BE35	49.1 	51.0 	52.0 	: u	55.5 	55.0 	58.1 	59.6 	57.0 	: 
BG31	: 	: 	: 	: 	3.8 	3.4 	3.7 	4.0 	4.3 	4.1 
BG32	: 	: 	: 	: 	51.9 	52.7 	54.2 	61.1 	63.7 	61.7 
BG33	: 	: 	: 	: 	50.4 	54.2 	57.3 	60.0 	63.1 	63.5 
BG34	: 	: 	: 	: 	20.0 	21.1 	22.4 	24.1 	24.3 	25.7 
BG41	: 	: 	: 	: 	65.4 	69.8 	69.3 	72.6 	74.5 	80.4 
BG42	: 	: 	: 	: 	24.8 	26.7 	30.9 	35.3 	38.0 	42.0 
CY00	20.8 	22.7 	26.0 	32.8 	35.8 	32.2 	32.1 	34.2 	39.6 	48.4 
CZ01	: 	103.4 	105.6 	128.3 	149.6 	161.8 	162.7 	174.7 	183.0 	187.5 
CZ02	: 	2.5 	3.3 	3.5 	4.0 	4.9 	4.9 	5.3 	5.6 	5.9 
CZ03	: 	23.2 	27.9 	29.0 	33.6 	37.0 	37.9 	41.0 	44.2 	46.4 
CZ04	: 	10.3 	10.4 	12.3 	14.3 	17.2 	17.7 	19.2 	20.4 	21.5 
CZ05	: 	18.6 	19.2 	22.3 	26.3 	27.4 	27.9 	30.0 	32.3 	34.0 
CZ06	: 	36.7 	41.0 	47.6 	55.0 	60.2 	61.5 	67.0 	72.9 	77.4 
CZ07	: 	19.4 	20.5 	24.4 	28.4 	30.6 	31.2 	34.1 	37.2 	39.6 
CZ08	: 	26.9 	27.1 	31.6 	36.5 	43.9 	45.1 	48.3 	52.5 	55.4 
DE30	72.6 	69.2 	69.5 	68.4 	68.8 	67.8 	66.5 	64.8 	65.1 	65.5 
DE50	75.4 	75.3 	78.8 	79.2 	84.2 	85.6 	85.7 	73.8 	75.7 	76.3 
DE60	70.5 	67.0 	67.7 	68.8 	70.2 	68.1 	68.4 	70.0 	68.2 	72.7 
DE80	25.0 	25.0 	25.4 	26.5 	28.8 	31.3 	31.5 	31.9 	33.2 	40.2 
DEC0	45.1 	43.0 	42.2 	42.5 	42.1 	42.5 	43.6 	44.4 	44.2 	45.4 
DEF0	34.7 	34.1 	: 	34.9 	36.0 	36.7 	37.9 	39.2 	38.8 	40.3 
DEG0	27.5 	28.5 	: 	32.1 	33.7 	33.7 	34.9 	36.2 	37.7 	46.7 
DK01	: 	: 	: 	: 	: 	: 	: 	108.0 	105.8 	101.2 
DK02	: 	: 	: 	: 	: 	: 	: 	58.6 	51.1 	55.5 
DK03	: 	: 	: 	: 	: 	: 	: 	58.9 	56.8 	55.3 
DK04	: 	: 	: 	: 	: 	: 	: 	71.2 	70.0 	69.1 
DK05	: 	: 	: 	: 	: 	: 	: 	61.6 	59.2 	56.8 
EE00	56.7 	60.5 	62.7 	64.8 	65.3 	65.9 	65.6 	65.6 	64.2 	: 
ES11	54.0 	54.7 	55.0 	56.4 	58.5 	58.4 	58.5 	58.6 	58.8 	62.7 
ES12	61.4 	61.7 	60.9 	62.3 	62.5 	62.9 	62.4 	61.7 	62.2 	63.3 
ES13	43.5 	42.9 	42.7 	43.1 	43.4 	43.5 	43.2 	43.9 	45.6 	46.8 
ES21	59.2 	61.0 	62.0 	64.3 	66.1 	68.4 	68.6 	68.7 	69.8 	70.1 
ES22	56.0 	54.7 	56.8 	57.8 	58.3 	60.3 	60.5 	65.1 	64.7 	63.6 
ES23	42.2 	43.7 	41.8 	45.1 	45.7 	47.0 	46.9 	47.7 	47.3 	47.7 
ES24	60.6 	59.1 	58.7 	59.3 	59.0 	59.7 	59.6 	58.3 	58.4 	59.1 
ES30	66.3 	68.4 	68.5 	70.3 	71.6 	73.1 	73.9 	76.7 	77.6 	79.8 
ES41	68.2 	68.1 	69.3 	68.6 	69.0 	70.6 	70.3 	71.2 	72.4 	72.4 
ES42	34.1 	32.8 	32.9 	31.9 	31.8 	32.1 	32.3 	32.2 	32.3 	31.5 
ES43	35.1 	41.2 	41.4 	40.9 	40.9 	40.8 	40.4 	43.4 	40.7 	42.0 
ES51	49.9 	50.8 	50.9 	52.2 	53.5 	54.9 	55.3 	55.0 	56.6 	61.9 
ES52	49.8 	48.3 	51.3 	53.4 	54.5 	55.1 	56.2 	57.4 	59.8 	62.3 
ES53	25.9 	24.8 	24.4 	25.1 	25.6 	26.4 	26.5 	30.0 	26.7 	28.0 
ES61	49.0 	48.9 	49.8 	49.9 	50.0 	49.9 	50.3 	51.1 	52.2 	53.3 
ES62	41.4 	45.5 	46.5 	46.3 	47.2 	47.2 	48.1 	48.5 	48.9 	50.7 
ES63	: 	: 	: 	23.1 	25.9 	27.0 	31.5 	32.6 	34.3 	36.2 
ES64	: 	: 	: 	21.4 	22.7 	23.2 	25.8 	26.0 	25.0 	27.4 
ES70	41.4 	40.7 	41.1 	42.2 	43.1 	43.7 	43.3 	43.4 	44.1 	44.9 
FI13	: 	: 	: 	81.2 	82.2 	81.6 	82.1 	83.9 	87.0 	84.1 
FI18	: 	: 	: 	92.3 	93.9 	95.6 	95.9 	96.7 	97.5 	92.7 
FI19	: 	: 	: 	92.4 	93.8 	94.5 	95.6 	95.5 	97.0 	94.1 
FI1A	: 	: 	: 	79.8 	81.6 	83.5 	85.1 	85.1 	87.4 	87.2 
FI20	: 	: 	: 	23.7 	22.7 	26.1 	27.3 	30.8 	32.6 	30.8 
FR10	70.9 	69.5 	68.2 	70.1 	70.9 	69.7 	69.8 	69.0 	69.0 	68.5 
FR21	41.9 	41.8 	41.2 	42.2 	43.9 	44.4 	45.2 	44.6 	44.8 	45.8 
FR22	33.7 	33.5 	32.1 	33.0 	34.1 	33.8 	34.7 	33.7 	33.8 	35.1 
FR23	43.1 	42.8 	41.1 	41.7 	42.2 	41.8 	43.0 	42.4 	42.9 	42.0 
FR24	41.5 	40.6 	38.6 	39.3 	39.4 	39.4 	39.9 	39.2 	39.2 	37.9 
FR25	41.0 	40.2 	38.4 	39.6 	40.2 	40.2 	42.6 	42.5 	41.4 	43.1 
FR26	41.7 	40.6 	39.4 	40.7 	41.6 	42.4 	44.3 	43.6 	43.9 	45.4 
FR30	50.5 	49.7 	48.2 	48.8 	49.9 	50.2 	51.1 	49.8 	49.9 	49.6 
FR41	48.9 	48.2 	46.5 	47.3 	48.2 	48.4 	48.5 	47.7 	47.5 	47.0 
