geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 
AT11	: 	42.4 	41.3 	41.9 	44.3 	44.1 	45.9 	45.5 	45.9 	46.0 
AT12	: 	40.8 	40.7 	40.4 	41.0 	41.3 	41.7 	41.4 	41.8 	40.9 
AT13	: 	46.5 	45.9 	44.6 	45.1 	44.7 	44.2 	44.8 	44.9 	42.8 
AT21	: 	46.0 	45.5 	45.9 	46.4 	47.7 	49.1 	48.9 	49.4 	49.0 
AT22	: 	44.0 	43.4 	43.2 	44.3 	45.2 	47.2 	44.7 	44.5 	43.9 
AT31	: 	45.3 	44.9 	44.5 	45.9 	46.2 	47.5 	46.5 	47.6 	47.0 
AT32	: 	48.7 	47.9 	47.4 	47.7 	49.5 	50.4 	50.1 	50.8 	50.6 
AT33	: 	44.8 	44.6 	44.3 	45.7 	47.1 	47.8 	45.9 	45.9 	45.4 
AT34	: 	40.8 	40.4 	40.7 	41.8 	42.7 	43.4 	42.8 	44.1 	44.1 
BE10	69.5 	90.2 	48.4 	51.3 	70.2 	73.5 	74.7 	78.4 	85.2 i	: 
BE21	56.3 	58.7 	60.2 	63.1 	58.2 	63.2 	63.4 	63.3 	74.7 i	: 
BE22	61.2 	60.8 	71.2 	74.2 	68.5 	75.5 	78.8 	79.5 	85.2 i	: 
BE23	57.8 	62.8 	70.3 	70.8 	64.3 	71.6 	71.3 	71.7 	83.9 i	: 
BE24	48.4 	50.1 	50.9 	49.0 	45.5 	54.9 	54.2 	54.2 	72.3 i	: 
BE25	65.5 	69.0 	77.9 	78.0 	71.2 	76.4 	78.0 	77.3 	88.1 i	: 
BE31	45.1 	45.1 	39.8 	42.8 	49.7 	49.0 	50.8 	52.6 	51.7 	: 
BE32	59.5 	58.8 	47.3 	49.6 	61.5 	61.0 	64.5 	65.0 	62.5 	: 
BE33	52.4 	54.7 	44.2 	44.3 	57.8 	57.1 	59.0 	60.8 	59.7 	: 
BE34	63.9 	64.1 	51.9 	54.8 	67.7 	66.9 	68.0 	68.5 	66.0 	: 
BE35	60.9 	63.1 	51.7 	54.0 	64.3 	63.5 	64.4 	66.7 	64.6 	: 
BG31	: 	: 	: 	: 	39.0 	39.7 	40.3 	38.6 	36.8 	36.1 
BG32	: 	: 	: 	: 	34.0 	34.9 	34.9 	34.3 	33.4 	32.6 
BG33	: 	: 	: 	: 	31.9 	33.3 	34.2 	34.0 	33.7 	33.4 
BG34	: 	: 	: 	: 	35.2 	35.6 	35.4 	35.2 	34.2 	33.8 
BG41	: 	: 	: 	: 	36.1 	36.9 	36.7 	37.5 	37.0 	36.5 
BG42	: 	: 	: 	: 	33.9 	34.6 	34.7 	34.9 	34.0 	33.3 
CY00	28.9 	28.5 	28.5 	28.5 	28.2 	27.4 	27.4 	27.6 	27.2 	27.6 
CZ01	: 	43.3 	45.3 	54.1 	58.2 	60.6 	60.0 	61.5 	61.1 	60.9 
CZ02	: 	27.1 	28.0 	29.4 	30.4 	31.2 	30.8 	30.7 	30.1 	29.4 
CZ03	: 	33.9 	35.1 	37.8 	39.4 	40.4 	40.3 	40.4 	40.4 	40.0 
CZ04	: 	32.3 	33.9 	37.6 	39.4 	40.1 	40.2 	40.2 	40.0 	39.8 
CZ05	: 	32.9 	34.0 	37.5 	39.4 	40.4 	40.3 	40.2 	40.0 	39.7 
CZ06	: 	34.5 	35.9 	40.4 	42.5 	43.8 	43.9 	44.5 	44.7 	44.8 
CZ07	: 	34.2 	35.7 	39.0 	40.8 	41.9 	41.7 	42.1 	42.4 	42.7 
CZ08	: 	33.4 	34.5 	38.4 	40.0 	40.8 	40.9 	41.0 	41.2 	41.5 
DE30	33.2 	33.0 	32.6 	32.4 	32.3 	33.2 	33.5 	34.2 	34.8 	33.4 
DE50	46.0 	45.4 	45.0 	43.2 	41.8 	42.4 	42.5 	43.2 	45.1 	41.6 
DE60	37.4 	37.0 	36.8 	36.8 	36.8 	37.5 	38.3 	38.7 	39.7 	40.8 
DE80	31.6 	30.2 	31.3 	31.1 	31.9 	32.9 	33.4 	34.9 	35.7 	31.0 
DEC0	38.7 	38.4 	37.9 	37.6 	37.7 	37.8 	38.3 	39.4 	40.4 	42.0 
DEF0	35.6 	35.6 	: 	34.7 	34.7 	35.1 	35.4 	36.4 	38.0 	32.8 
DEG0	33.3 	31.8 	: 	30.7 	31.0 	31.9 	32.4 	33.9 	35.1 	30.2 
DK01	: 	: 	: 	: 	: 	: 	: 	39.3 	36.9 	36.3 
DK02	: 	: 	: 	: 	: 	: 	: 	46.9 	46.1 	45.7 
DK03	: 	: 	: 	: 	: 	: 	: 	45.0 	44.8 	44.4 
DK04	: 	: 	: 	: 	: 	: 	: 	43.0 	41.6 	41.6 
DK05	: 	: 	: 	: 	: 	: 	: 	42.9 	41.0 	41.2 
EE00	32.6 	33.7 	34.1 	33.2 	33.2 	34.2 	33.8 	33.8 	32.6 	: 
ES11	26.4 	24.5 	21.1 	19.8 	22.3 	25.1 	25.4 	25.0 	24.9 	25.5 
ES12	27.9 	26.6 	25.0 	22.8 	22.2 	26.1 	25.9 	25.4 	24.8 	24.0 
ES13	26.0 	25.3 	24.1 	21.9 	22.4 	24.6 	25.9 	25.6 	24.6 	26.3 
ES21	24.9 	23.9 	23.0 	23.3 	24.1 	26.2 	26.6 	26.9 	26.3 	27.3 
ES22	22.9 	20.7 	21.0 	20.8 	21.5 	23.3 	24.2 	24.1 	24.4 	26.7 
ES23	26.1 	24.4 	22.7 	20.8 	20.9 	22.7 	23.6 	24.0 	24.0 	24.1 
ES24	26.7 	24.6 	23.9 	21.5 	21.8 	22.3 	22.6 	22.7 	22.7 	22.7 
ES30	22.8 	21.6 	20.7 	19.2 	19.3 	20.2 	20.8 	20.6 	20.6 	20.9 
ES41	28.9 	28.0 	27.0 	24.2 	24.4 	25.8 	25.8 	26.4 	28.0 	27.5 
ES42	22.3 	21.9 	21.4 	18.6 	18.7 	20.5 	20.7 	22.0 	21.2 	21.9 
ES43	24.5 	23.4 	22.1 	20.3 	20.0 	22.6 	22.6 	23.6 	23.2 	24.2 
ES51	18.9 	18.2 	18.3 	17.7 	17.9 	19.3 	18.9 	20.1 	20.6 	21.5 
ES52	22.3 	20.3 	19.3 	17.6 	18.1 	19.3 	19.3 	19.5 	19.6 	20.0 
ES53	16.7 	17.2 	17.3 	16.1 	16.7 	16.9 	17.1 	17.1 	17.1 	17.3 
ES61	21.4 	21.4 	20.4 	19.6 	19.3 	20.2 	20.4 	20.9 	20.8 	20.3 
ES62	21.1 	20.7 	19.5 	18.2 	19.0 	20.0 	20.0 	20.5 	20.4 	21.0 
ES63	: 	: 	: 	21.1 	20.9 	25.3 	26.0 	25.6 	24.6 	23.3 
ES64	: 	: 	: 	23.5 	23.2 	27.1 	28.3 	29.6 	25.2 	25.0 
ES70	25.4 	24.1 	22.3 	21.0 	21.5 	23.7 	24.8 	23.9 	24.6 	24.3 
FI13	: 	: 	: 	50.8 	51.6 	55.0 	57.5 	59.1 	60.2 	60.4 
FI18	: 	: 	: 	47.4 	48.5 	53.4 	54.6 	56.7 	57.5 	58.6 
FI19	: 	: 	: 	47.7 	48.1 	54.1 	54.2 	55.9 	57.0 	59.1 
FI1A	: 	: 	: 	50.4 	51.2 	55.0 	57.3 	58.2 	59.4 	60.8 
FI20	: 	: 	: 	38.7 	38.5 	39.4 	42.3 	44.5 	47.6 	46.2 
FR10	31.8 	31.1 	30.6 	30.8 	30.9 	31.1 	31.0 	31.0 	30.8 	30.7 
FR21	34.7 	34.1 	33.7 	34.2 	34.7 	35.0 	34.5 	34.3 	33.7 	33.6 
FR22	36.0 	34.8 	34.1 	34.3 	34.5 	34.5 	34.1 	34.0 	33.8 	33.5 
FR23	36.9 	36.0 	35.4 	35.2 	35.0 	35.1 	35.0 	34.9 	34.8 	34.1 
FR24	35.3 	34.8 	34.4 	34.5 	34.5 	34.6 	34.1 	34.0 	34.4 	34.0 
FR25	36.9 	36.1 	35.6 	36.0 	35.8 	35.8 	36.0 	36.1 	36.0 	35.7 
FR26	36.6 	35.8 	35.4 	35.3 	35.5 	35.7 	35.7 	35.5 	35.3 	34.9 
FR30	35.6 	34.6 	34.0 	34.1 	33.7 	33.6 	33.5 	33.1 	32.9 	32.3 
FR41	35.8 	34.7 	34.2 	34.3 	33.9 	33.7 	33.8 	33.7 	33.7 	33.0 
FR42	32.1 	31.4 	30.8 	30.9 	30.8 	31.3 	31.9 	31.9 	32.0 	31.6 
FR43	37.1 	36.1 	35.1 	35.2 	35.1 	35.3 	35.1 	35.0 	34.9 	34.9 
FR51	35.7 	34.7 	34.3 	34.7 	35.0 	35.3 	34.7 	34.6 	34.5 	34.5 
FR52	37.0 	35.9 	35.6 	36.0 	36.0 	36.3 	35.5 	35.5 	36.1 	36.0 
FR53	36.2 	35.7 	35.3 	35.4 	35.2 	35.2 	34.1 	34.0 	34.1 	34.3 
FR61	34.6 	33.7 	33.2 	33.4 	33.2 	33.4 	33.6 	33.5 	33.5 	33.4 
FR62	33.9 	33.2 	33.1 	33.2 	32.8 	33.3 	33.0 	32.8 	32.2 	32.1 
FR63	36.8 	35.7 	35.0 	35.1 	35.1 	35.6 	35.1 	34.7 	34.8 	34.1 
FR71	34.1 	33.1 	32.6 	32.8 	32.8 	32.8 	32.9 	32.8 	33.0 	32.4 
FR72	36.4 	35.5 	34.7 	34.5 	34.5 	34.6 	34.2 	34.2 	34.2 	34.0 
FR81	32.5 	32.1 	31.9 	32.3 	32.2 	32.4 	32.9 	32.5 	33.5 	33.4 
FR82	35.1 	34.6 	34.5 	34.6 	34.7 	35.0 	34.8 	34.5 	34.1 	34.0 
FR83	34.3 	33.5 	32.3 	32.6 	32.1 	32.6 	31.8 	31.1 	31.4 	29.9 
FR91	38.3 	38.5 	38.2 	38.2 	38.9 	40.6 	42.3 	42.2 	41.9 	41.2 
FR92	42.2 	42.7 	41.9 	42.5 	41.8 	44.9 	44.6 	42.9 	42.2 	41.6 
FR93	24.7 	24.4 	24.1 	24.1 	24.3 	24.9 	25.5 	25.9 	26.1 	27.9 
FR94	34.6 	34.3 	33.7 	33.0 	32.6 	32.8 	36.2 	36.1 	35.6 	35.6 
GR11	: 	: 	: 	: 	29.8 	33.3 	: 	24.8 	26.6 	: 
GR12	: 	: 	: 	: 	26.2 	32.0 	: 	27.1 	29.0 	: 
GR13	: 	: 	: 	: 	30.8 	31.1 	: 	28.2 	29.3 	: 
GR14	: 	: 	: 	: 	25.7 	32.2 	: 	26.7 	27.7 	: 
GR21	: 	: 	: 	: 	25.5 	28.9 	: 	26.2 	27.3 	: 
GR22	: 	: 	: 	: 	29.4 	28.0 	: 	24.6 	25.8 	: 
GR23	: 	: 	: 	: 	26.5 	28.3 	: 	24.0 	25.2 	: 
GR24	: 	: 	: 	: 	27.7 	30.3 	: 	24.7 	26.3 	: 
