geo\time	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 
AT11	: 	: 	: 	: 	0.13 	: 	0.13 	: 	0.13 	0.14 	: 	: 
AT12	: 	: 	: 	: 	0.21 	: 	0.21 	: 	0.26 	0.26 	: 	: 
AT13	: 	: 	: 	: 	1.56 	: 	1.57 	: 	1.59 	1.72 	: 	: 
AT21	: 	: 	: 	: 	0.48 	: 	0.6 	: 	0.69 	0.72 	: 	: 
AT22	: 	: 	: 	: 	0.78 	: 	0.87 	: 	0.96 	0.99 	: 	: 
AT31	: 	: 	: 	: 	0.43 	: 	0.48 	: 	0.54 	0.59 	: 	: 
AT32	: 	: 	: 	: 	0.34 	: 	0.38 	: 	0.42 	0.45 	: 	: 
AT33	: 	: 	: 	: 	0.56 	: 	0.67 	: 	0.67 	0.73 	: 	: 
AT34	: 	: 	: 	: 	0.35 	: 	0.38 	: 	0.38 	0.41 	: 	: 
BE10	: 	: 	: 	: 	1.38 	1.38 	1.42 	1.39 	1.56 	1.57 	: 	: 
BG31	: 	: 	: 	: 	: 	0.07 	0.08 	0.08 	0.08 	0.09 	0.09 	: 
BG32	: 	: 	: 	: 	: 	0.11 	0.13 	0.2 	0.18 	0.18 	0.18 	: 
BG33	: 	: 	: 	: 	: 	0.2 	0.2 	0.17 	0.19 	0.16 	0.18 	: 
BG34	: 	: 	: 	: 	: 	0.14 	0.12 	0.09 	0.13 	0.16 	0.17 	: 
BG41	: 	: 	: 	: 	: 	0.86 	0.83 	0.83 	0.78 	0.77 	0.74 	: 
BG42	: 	: 	: 	: 	: 	0.07 	0.08 	0.09 	0.09 	0.14 	0.15 	: 
CY00	: 	: 	0.1 	0.11 	0.14 	0.15 	0.17 	0.2 	0.21 	0.21 	0.21 	0.22 p
CZ01	: 	: 	: 	1.12 	1.13 	1.24 	1.23 	1.72 b	1.88 	2.08 	2.08 	1.83 
CZ02	: 	: 	: 	0.3 	0.33 	0.37 	0.36 	0.44 b	0.47 	0.48 	0.5 	0.48 
CZ03	: 	: 	: 	0.19 	0.18 	0.15 	0.16 	0.29 b	0.26 	0.26 	0.26 	0.3 
CZ04	: 	: 	: 	0.07 	0.05 	0.05 	0.05 	0.07 b	0.09 	0.09 	0.1 	0.08 
CZ05	: 	: 	: 	0.17 	0.18 	0.17 	0.22 	0.33 b	0.4 	0.38 	0.37 	0.35 
CZ06	: 	: 	: 	0.32 	0.29 	0.31 	0.33 	0.53 b	0.52 	0.52 	0.65 	0.71 
CZ07	: 	: 	: 	0.15 	0.14 	0.16 	0.16 	0.3 b	0.31 	0.31 	0.33 	0.33 
CZ08	: 	: 	: 	0.16 	0.16 	0.18 	0.18 	0.24 b	0.26 	0.28 	0.29 	0.33 
DE11	: 	: 	: 	: 	: 	1.65 	: 	1.67 	: 	1.68 	: 	: 
DE12	: 	: 	: 	: 	: 	1.23 	: 	1.29 	: 	1.31 	: 	: 
DE13	: 	: 	: 	: 	: 	0.58 	: 	0.57 	: 	0.65 	: 	: 
DE14	: 	: 	: 	: 	: 	1.14 	: 	1.11 	: 	1.08 	: 	: 
DE21	: 	: 	: 	: 	: 	1.66 	: 	1.81 	: 	1.63 	: 	: 
DE22	: 	: 	: 	: 	: 	: c	: 	: c	: 	: c	: 	: 
DE23	: 	: 	: 	: 	: 	: c	: 	: c	: 	: c	: 	: 
DE24	: 	: 	: 	: 	: 	0.42 	: 	0.38 	: 	0.43 	: 	: 
DE25	: 	: 	: 	: 	: 	1.09 	: 	0.96 	: 	0.87 	: 	: 
DE26	: 	: 	: 	: 	: 	0.53 	: 	0.59 	: 	0.61 	: 	: 
DE27	: 	: 	: 	: 	: 	0.31 	: 	0.32 	: 	0.33 	: 	: 
DE30	: 	: 	: 	: 	: 	1.17 	: 	1.07 	: 	1.03 	: 	: 
DE41	: 	: 	: 	: 	: 	: 	: 	0.15 	: 	: c	: 	: 
DE42	: 	: 	: 	: 	: 	: 	: 	0.47 	: 	: c	: 	: 
DE50	: 	: 	: 	: 	: 	1.27 	: 	1.11 	: 	1.16 	: 	: 
DE60	: 	: 	: 	: 	: 	0.79 	: 	0.77 	: 	0.79 	: 	: 
DE71	: 	: 	: 	: 	: 	0.93 	: 	0.92 	: 	1.04 	: 	: 
DE72	: 	: 	: 	: 	: 	0.49 	: 	0.51 	: 	0.6 	: 	: 
DE73	: 	: 	: 	: 	: 	0.3 	: 	0.32 	: 	0.36 	: 	: 
DE80	: 	: 	: 	: 	: 	0.35 	: 	0.31 	: 	0.36 	: 	: 
DE91	: 	: 	: 	: 	: 	1.46 	: 	1.29 	: 	1.53 	: 	: 
DE92	: 	: 	: 	: 	: 	0.7 	: 	0.66 	: 	0.69 	: 	: 
DE93	: 	: 	: 	: 	: 	0.11 	: 	0.17 	: 	0.19 	: 	: 
DE94	: 	: 	: 	: 	: 	0.19 	: 	0.19 	: 	0.2 	: 	: 
DEA1	: 	: 	: 	: 	: 	0.41 	: 	0.43 	: 	0.44 	: 	: 
DEA2	: 	: 	: 	: 	: 	0.89 	: 	0.84 	: 	0.85 	: 	: 
DEA3	: 	: 	: 	: 	: 	0.27 	: 	0.21 	: 	0.25 	: 	: 
DEA4	: 	: 	: 	: 	: 	0.41 	: 	0.44 	: 	0.55 	: 	: 
