landuse,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 
L0008,ES61	: 	: 	: 	: 	: 	: 	: 	86519.6 	86519.6 	86519.6 	: 
L0008,ES62	: 	: 	: 	: 	: 	: 	: 	11290.3 	11290.3 	11290.3 	: 
L0008,ES63	: 	: 	: 	: 	: 	: 	: 	19.3 	19.3 	19.3 	: 
L0008,ES64	: 	: 	: 	: 	: 	: 	: 	13.4 	13.4 	13.4 	: 
L0008,ES70	: 	: 	: 	: 	: 	: 	: 	7447.0 	7447.0 	7447.0 	: 
L0008,FI13	70294.3 	70294.3 	70294.6 	70294.6 	70294.4 	70294.4 	70041.6 	70037.5 	70028.7 	70024.0 	: 
L0008,FI18	40853.0 	40852.8 	40796.6 	40796.6 	40796.4 	40796.4 	40849.0 	40846.0 	40846.3 	40846.5 	: 
L0008,FI19	58275.5 	58275.8 	58275.9 	58275.9 	58276.2 	58276.9 	58303.6 	58304.2 	58303.7 	58303.6 	: 
L0008,FI1A	133580.3 	133579.7 	133578.9 	133578.9 	133579.1 	133578.4 	133362.1 	133344.1 	133169.1 	133172.2 	: 
L0008,FI20	1526.5 	1526.5 	1526.5 	1526.5 	1526.5 	1526.5 	1555.5 	1554.1 	1552.9 	1552.6 	: 
L0008,GR11	14034.0 	14034.0 	14034.0 	14034.0 	14034.0 	14034.0 	14064.0 	14064.0 	14064.0 	14064.0 	: 
L0008,GR12	18884.0 	18884.0 	18884.0 	18884.0 	18884.0 	18884.0 	18886.0 	18886.0 	18886.0 	18886.0 	: 
L0008,GR13	9220.0 	9220.0 	9220.0 	9220.0 	9220.0 	9220.0 	9258.0 	9258.0 	9258.0 	9258.0 	: 
L0008,GR14	14004.0 	14004.0 	14004.0 	14004.0 	14004.0 	14004.0 	14003.0 	14003.0 	14003.0 	14003.0 	: 
L0008,GR21	9076.0 	9076.0 	9076.0 	9076.0 	9076.0 	9076.0 	9085.0 	9085.0 	9085.0 	9085.0 	: 
L0008,GR22	2297.0 	2297.0 	2297.0 	2297.0 	2297.0 	2297.0 	2299.0 	2299.0 	2299.0 	2299.0 	: 
L0008,GR23	11040.0 	11040.0 	11040.0 	11040.0 	11040.0 	11040.0 	11067.0 	11067.0 	11067.0 	11067.0 	: 
L0008,GR24	15435.0 	15435.0 	15435.0 	15435.0 	15435.0 	15435.0 	15435.0 	15435.0 	15435.0 	15435.0 	: 
L0008,GR25	15474.0 	15474.0 	15474.0 	15474.0 	15474.0 	15474.0 	15475.0 	15475.0 	15475.0 	15475.0 	: 
L0008,GR30	3806.0 	3806.0 	3806.0 	3806.0 	3806.0 	3806.0 	3806.0 	3806.0 	3806.0 	3806.0 	: 
L0008,GR41	3823.0 	3823.0 	3823.0 	3823.0 	3823.0 	3823.0 	3823.0 	3823.0 	3823.0 	3823.0 	: 
L0008,GR42	5286.0 	5286.0 	5286.0 	5286.0 	5286.0 	5286.0 	5286.0 	5286.0 	5286.0 	5286.0 	: 
L0008,GR43	8335.0 	8335.0 	8335.0 	8335.0 	8335.0 	8335.0 	8335.0 	8335.0 	8335.0 	8335.0 	: 
L0008,HR01	8672.0 	8672.0 	8672.0 	8669.0 	8669.0 	8669.0 	8669.0 	8669.0 	8669.0 	8669.0 	: 
L0008,HR02	23174.0 	23174.0 	23174.0 	23220.0 	23220.0 	23220.0 	23220.0 	23220.0 	23220.0 	23220.0 	: 
L0008,HR03	24696.0 	24696.0 	24696.0 	24705.0 	24705.0 	24705.0 	24705.0 	24705.0 	24705.0 	24705.0 	: 
L0008,HU10	6919.0 	6919.0 	6919.0 	6919.0 	6919.0 	6918.0 	6918.4 	6918.3 	6915.8 	: 	: 
L0008,HU21	11263.0 	11236.0 	11236.0 	11117.0 	11117.0 	11117.0 	11116.3 	11116.2 	11116.0 	: 	: 
L0008,HU22	11182.0 	11209.0 	11209.0 	11329.0 	11329.0 	11328.0 	11328.7 	11328.2 	11328.4 	: 	: 
L0008,HU23	14169.0 	14169.0 	14169.0 	14169.0 	14169.0 	14169.0 	14168.5 	14168.7 	14168.7 	: 	: 
L0008,HU31	13429.0 	13429.0 	13429.0 	13429.0 	13430.0 	13430.0 	13430.1 	13431.0 	13432.8 	: 	: 
L0008,HU32	17754.0 	17729.0 	17729.0 	17729.0 	17729.0 	17729.0 	17728.8 	17728.8 	17728.8 	: 	: 
L0008,HU33	18314.0 	18339.0 	18339.0 	18339.0 	18339.0 	18339.0 	18337.7 	18337.8 	18337.2 	: 	: 
L0008,IE01	32097.1 	32097.1 	32097.1 	32097.1 	32097.1 	32097.0 	32097.0 	32097.0 	32097.0 	32097.0 	32097.0 
L0008,IE02	36296.8 	36296.8 	36296.8 	36296.8 	36296.8 	36297.0 	36297.0 	36297.0 	36297.0 	36297.0 	36297.0 
L0008,IS00	: 	: 	: 	: 	: 	: 	: 	: 	: 	100243.0 	: 
L0008,ITC1	24857.0 	24857.0 	24859.0 	24860.0 	24860.0 	24860.0 	24860.0 	24860.0 	24860.0 	24860.0 	: 
L0008,ITC2	3239.0 	3239.0 	3239.0 	3239.0 	3239.0 	3239.0 	3239.0 	3239.0 	3239.0 	3239.0 	: 
L0008,ITC3	5327.0 	5329.0 	5331.0 	5330.0 	5330.0 	5330.0 	5330.0 	5330.0 	5330.0 	5330.0 	: 
L0008,ITC4	22800.0 	22800.0 	22800.0 	22800.0 	22800.0 	22800.0 	22800.0 	22800.0 	22800.0 	22800.0 	: 
L0008,ITD1	7370.0 	7370.0 	7370.0 	7370.0 	7370.0 	7370.0 	7370.0 	7370.0 	7370.0 	7370.0 	: 
L0008,ITD2	6140.0 	6140.0 	6140.0 	6140.0 	6140.0 	6140.0 	6140.0 	6140.0 	6140.0 	6140.0 	: 
L0008,ITD3	17563.0 	17563.0 	17571.0 	17571.0 	17571.0 	17571.0 	17571.0 	17571.0 	17571.0 	17571.0 	: 
L0008,ITD4	7553.0 	7554.0 	7556.0 	7556.0 	7556.0 	7556.0 	7556.0 	7556.0 	7556.0 	7556.0 	: 
L0008,ITD5	21529.0 	21529.0 	21523.0 	21523.0 	21523.0 	21523.0 	21523.0 	21523.0 	21523.0 	21523.0 	: 
