geo\time	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 
AT11	: 	: 	: 	0.65 	: 	0.54 	: 	0.6 	0.62 	: 	: 	: 
AT12	: 	: 	: 	0.85 	: 	0.9 	: 	1.16 	1.21 	: 	: 	: 
AT13	: 	: 	: 	3.32 	: 	3.47 	: 	3.52 	3.61 	: 	: 	: 
AT21	: 	: 	: 	1.83 	: 	2.31 	: 	2.66 	2.68 	: 	: 	: 
AT22	: 	: 	: 	3.37 	: 	3.26 	: 	3.48 	3.74 	: 	: 	: 
AT31	: 	: 	: 	1.68 	: 	1.87 	: 	2.27 	2.33 	: 	: 	: 
AT32	: 	: 	: 	0.88 	: 	1 	: 	1.09 	1.06 	: 	: 	: 
AT33	: 	: 	: 	1.81 	: 	2.16 	: 	2.46 	2.41 	: 	: 	: 
AT34	: 	: 	: 	1.33 	: 	1.31 	: 	1.32 	1.38 	: 	: 	: 
BE10	: 	: 	: 	1.25 	1.18 	1.18 	1.14 	1.42 	1.37 	: 	: 	: 
BG31	: 	: 	: 	0.1 	0.1 	0.12 	0.11 	0.14 	0.15 	0.12 	: 	: 
BG32	: 	: 	: 	0.2 	0.17 	0.16 	0.08 	0.1 	0.08 	0.09 	: 	: 
BG33	: 	: 	: 	0.18 	0.23 	0.21 	0.2 	0.26 	0.2 	0.22 	: 	: 
BG34	: 	: 	: 	0.15 	0.15 	0.1 	0.08 	0.15 	0.16 	0.18 	: 	: 
BG41	1.28 	1.22 	: 	1 	0.99 	1.01 	0.94 	0.85 	0.79 	0.77 	: 	: 
BG42	: 	: 	: 	0.13 	0.15 	0.13 	0.14 	0.14 	0.22 	0.36 	: 	: 
CY00	0.23 	0.24 	0.25 	0.3 	0.35 	0.37 	0.4 	0.43 	0.44 	0.42 	0.46 p	: 
CZ01	: 	: 	1.83 	1.74 	1.92 	2.01 	2.21 	2.46 	2.6 	2.42 	: 	: 
CZ02	: 	: 	3 	2.94 	2.58 	2.43 	2.77 	2.46 	2.77 	2.47 	: 	: 
CZ03	: 	: 	0.59 	0.65 	0.64 	0.66 	0.87 	0.89 	0.88 	1.04 	: 	: 
CZ04	: 	: 	0.28 	0.25 	0.3 	0.24 	0.25 	0.24 	0.26 	0.29 	: 	: 
CZ05	: 	: 	0.8 	0.78 	0.9 	0.98 	1.07 	1.13 	1.09 	1.11 	: 	: 
CZ06	: 	: 	0.98 	1 	1.04 	1.11 	1.26 	1.21 	1.24 	1.26 	: 	: 
CZ07	: 	: 	0.62 	0.89 	0.74 	0.69 	1.05 	0.99 	0.99 	0.88 	: 	: 
CZ08	: 	: 	0.78 	0.6 	0.98 	0.78 	0.71 	1.69 	0.77 	0.7 	: 	: 
DE11	4.81 	: 	: 	: 	4.68 	: 	5.39 	: 	5.83 	: 	: 	: 
DE12	3.34 	: 	: 	: 	3.88 	: 	3.92 	: 	3.75 	: 	: 	: 
