geo\time	1994_1996 	1997_1999 	1998_2000 	1999_2001 	2000_2002 	2001_2003 	2002_2004 	2003_2005 	2004_2006 	2005_2007 	2006_2008 	2007_2009 
AT11	159.2 	165.4 	156.0 	144.5 	141.5 	137.6 	130.2 	120.0 	114.5 	117.1 	118.1 	: 
AT12	162.2 	153.2 	149.3 	141.0 	140.2 	134.4 	130.7 	122.3 	115.6 	112.1 	109.4 	: 
AT13	168.0 	169.9 	164.3 	157.7 	158.0 	159.4 	158.1 	150.3 	142.5 	137.1 	127.5 	: 
AT21	110.4 	103.2 	99.9 	95.0 	94.7 	89.8 	85.3 	83.5 	82.7 	82.8 	78.0 	: 
AT22	137.9 	135.4 	129.8 	123.3 	117.8 	111.2 	105.3 	99.9 	96.8 	94.5 	92.9 	: 
AT31	145.5 	140.0 	134.1 	125.1 	122.3 	119.5 	115.7 	109.6 	104.7 	100.9 	96.6 	: 
AT32	131.4 	120.7 	114.0 	108.6 	107.4 	105.7 	102.0 	99.5 	96.3 	91.9 	85.1 	: 
AT33	141.6 	138.2 	134.7 	128.2 	121.1 	112.7 	107.1 	104.7 	100.2 	93.5 	87.5 	: 
AT34	152.5 	143.4 	141.4 	132.0 	126.7 	121.8 	114.8 	109.3 	102.9 	103.4 	101.9 	: 
BE10	26.1 	80.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE21	54.6 	80.5 	83.1 	78.5 	77.2 	: 	: 	: 	: 	: 	: 	: 
BE22	60.1 	90.2 	91.4 	85.9 	84.2 	: 	: 	: 	: 	: 	: 	: 
BE23	54.3 	84.8 	86.5 	82.7 	80.5 	: 	: 	: 	: 	: 	: 	: 
BE24	53.8 	81.4 	82.3 	81.5 	78.5 	: 	: 	: 	: 	: 	: 	: 
BE25	56.1 	83.0 	82.6 	78.4 	77.3 	: 	: 	: 	: 	: 	: 	: 
BE31	62.9 	76.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE32	100.4 	86.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE33	96.6 	87.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE34	95.0 	80.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE35	102.2 	83.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BG11	: 	296.0 	374.3 	244.5 	564.6 	371.1 	: 	: 	: 	: 	: 	: 
BG12	: 	236.4 	295.6 	205.4 	486.0 	317.4 	: 	: 	: 	: 	: 	: 
BG13	: 	180.1 	228.3 	167.9 	385.1 	272.4 	: 	: 	: 	: 	: 	: 
BG21	: 	190.1 	240.4 	177.2 	378.0 	268.5 	: 	: 	: 	: 	: 	: 
BG22	: 	252.5 	328.1 	229.3 	523.3 	348.3 	: 	: 	: 	: 	: 	: 
BG23	: 	169.5 	207.3 	144.2 	355.0 	288.8 	: 	: 	: 	: 	: 	: 
