geo\time	1994_1996 	1997_1999 	1998_2000 	1999_2001 	2000_2002 	2001_2003 	2002_2004 	2003_2005 	2004_2006 	2005_2007 	2006_2008 	2007_2009 
ITD5	625.9 	586.0 	568.9 	552.0 	542.1 	542.7 	: 	: 	: 	: 	482.5 	: 
ITE1	626.1 	582.2 	565.9 	550.3 	537.7 	536.1 	: 	: 	: 	: 	479.6 	: 
ITE2	626.6 	582.0 	561.3 	540.2 	529.8 	529.3 	: 	: 	: 	: 	475.4 	: 
ITE3	589.9 	560.2 	544.6 	523.9 	509.9 	510.2 	: 	: 	: 	: 	455.4 	: 
ITE4	662.9 	625.3 	605.8 	592.3 	583.2 	589.4 	: 	: 	: 	: 	506.9 	: 
ITF1	632.6 	584.7 	568.3 	547.4 	541.4 	540.2 	: 	: 	: 	: 	485.3 	: 
ITF2	622.6 	606.6 	590.5 	569.5 	553.5 	544.6 	: 	: 	: 	: 	499.5 	: 
ITF3	760.5 	716.0 	700.0 	677.8 	664.5 	656.8 	: 	: 	: 	: 	578.4 	: 
ITF4	646.6 	612.8 	592.9 	569.2 	557.6 	559.3 	: 	: 	: 	: 	502.0 	: 
ITF5	674.5 	618.7 	603.1 	583.2 	572.3 	563.6 	: 	: 	: 	: 	505.6 	: 
ITF6	662.6 	622.8 	603.1 	582.3 	568.9 	565.9 	: 	: 	: 	: 	510.1 	: 
ITG1	713.7 	663.4 	642.6 	621.2 	610.0 	609.8 	: 	: 	: 	: 	545.5 	: 
ITG2	660.6 	631.9 	615.5 	595.6 	580.1 	581.3 	: 	: 	: 	: 	501.8 	: 
NL11	734.2 	728.0 	716.2 	715.2 	704.8 	701.2 	676.9 	653.8 	631.6 	609.1 	598.1 	: 
NL12	719.1 	690.3 	684.1 	682.1 	674.3 	664.9 	644.5 	622.7 	613.6 	593.5 	579.5 	: 
NL13	720.4 	697.5 	698.0 	684.7 	675.9 	658.8 	644.9 	617.1 	592.9 	573.5 	562.9 	: 
NL21	744.5 	724.5 	721.9 	721.6 	713.9 	703.9 	682.8 	659.2 	634.4 	610.3 	589.7 	: 
NL22	730.7 	709.1 	706.2 	696.9 	689.0 	683.6 	669.0 	649.0 	619.8 	598.7 	578.6 	: 
