geo\time	1994_1996 	1997_1999 	1998_2000 	1999_2001 	2000_2002 	2001_2003 	2002_2004 	2003_2005 	2004_2006 	2005_2007 	2006_2008 	2007_2009 
AT11	18.2 	12.7 	12.3 	12.8 	12.7 	12.8 	12.0 	12.2 	9.7 	9.4 	8.8 	: 
AT12	18.1 	14.8 	14.0 	13.9 	14.0 	14.1 	14.6 	13.5 	12.3 	10.8 	10.1 	: 
AT13	7.6 	6.6 	6.9 	7.0 	6.4 	6.2 	5.6 	5.3 	4.8 	4.5 	3.9 	: 
AT21	16.0 	13.1 	12.6 	11.5 	11.5 	11.2 	11.9 	10.9 	10.4 	9.5 	9.0 	: 
AT22	15.0 	14.6 	13.1 	13.4 	12.9 	13.3 	12.2 	10.9 	9.4 	8.7 	8.5 	: 
AT31	16.1 	13.9 	12.3 	12.0 	11.2 	11.7 	11.3 	11.1 	10.2 	10.1 	9.0 	: 
AT32	14.6 	12.5 	11.3 	10.9 	10.8 	10.9 	11.4 	10.9 	10.4 	9.8 	9.0 	: 
AT33	13.1 	9.1 	9.8 	11.3 	11.7 	10.2 	8.6 	7.5 	7.0 	6.5 	7.5 	: 
AT34	8.6 	8.4 	8.3 	8.9 	7.9 	6.6 	6.4 	6.1 	6.6 	5.8 	5.5 	: 
BE10	3.0 	7.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE21	8.7 	13.9 	13.3 	13.3 	12.2 	: 	: 	: 	: 	: 	: 	: 
BE22	12.6 	15.7 	18.1 	18.0 	17.4 	: 	: 	: 	: 	: 	: 	: 
BE23	10.1 	14.5 	14.4 	14.4 	13.6 	: 	: 	: 	: 	: 	: 	: 
BE24	7.3 	11.0 	11.3 	11.4 	11.1 	: 	: 	: 	: 	: 	: 	: 
BE25	10.3 	16.3 	17.6 	17.6 	16.4 	: 	: 	: 	: 	: 	: 	: 
BE31	11.6 	14.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE32	17.7 	16.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE33	17.4 	15.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE34	28.3 	26.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE35	25.6 	25.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BG11	: 	11.2 	12.8 	12.1 	12.7 	12.9 	: 	: 	: 	: 	: 	: 
BG12	: 	7.9 	8.9 	9.0 	10.4 	12.5 	: 	: 	: 	: 	: 	: 
BG13	: 	10.6 	11.8 	11.4 	13.0 	15.3 	: 	: 	: 	: 	: 	: 
BG21	: 	14.1 	14.6 	13.3 	15.9 	16.9 	: 	: 	: 	: 	: 	: 
BG22	: 	12.2 	13.0 	12.3 	16.0 	17.7 	: 	: 	: 	: 	: 	: 
BG23	: 	12.3 	14.3 	14.6 	17.9 	17.6 	: 	: 	: 	: 	: 	: 
BG31	: 	: 	: 	: 	: 	: 	: 	9.3 	9.2 	9.7 	11.1 	: 
BG32	: 	: 	: 	: 	: 	: 	: 	10.2 	11.6 	12.5 	13.5 	: 
BG33	: 	: 	: 	: 	: 	: 	: 	11.0 	11.3 	12.6 	14.4 	: 
BG34	: 	: 	: 	: 	: 	: 	: 	14.0 	15.1 	16.3 	18.3 	: 
BG41	: 	: 	: 	: 	: 	: 	: 	11.7 	11.9 	11.8 	12.1 	: 
BG42	: 	: 	: 	: 	: 	: 	: 	11.6 	11.8 	11.2 	11.0 	: 
CH01	: 	8.8 	9.0 	7.9 	7.8 	7.5 	7.2 	5.8 	5.3 	5.1 	: 	: 
CH02	: 	8.3 	8.6 	8.5 	7.9 	7.9 	7.9 	7.3 	5.8 	4.9 	: 	: 
CH03	: 	6.8 	6.6 	6.4 	6.6 	6.3 	6.3 	5.6 	4.7 	4.0 	: 	: 
CH04	: 	6.4 	6.7 	7.1 	7.3 	6.0 	5.5 	4.9 	5.0 	4.4 	: 	: 
CH05	: 	9.0 	8.0 	8.0 	7.6 	7.8 	7.3 	7.4 	6.2 	5.9 	: 	: 
CH06	: 	8.9 	8.2 	7.3 	6.2 	6.2 	6.0 	6.0 	5.5 	5.7 	: 	: 
CH07	: 	8.4 	9.0 	8.7 	7.5 	7.4 	7.3 	7.3 	6.8 	5.5 	: 	: 
CZ01	: 	11.4 	10.2 	10.5 	9.8 	9.6 	9.0 	8.0 	7.0 	6.7 	6.3 	: 
CZ02	: 	13.5 	14.9 	14.7 	14.9 	14.2 	13.7 	13.2 	12.4 	13.1 	12.6 	: 
CZ03	: 	14.5 	15.7 	16.6 	16.3 	15.0 	13.6 	13.0 	12.1 	11.7 	11.4 	: 
CZ04	: 	14.6 	14.2 	13.5 	13.7 	13.6 	14.0 	14.0 	12.5 	10.9 	10.3 	: 
CZ05	: 	14.7 	14.5 	14.9 	14.7 	14.8 	14.4 	13.0 	11.6 	11.1 	10.8 	: 
CZ06	: 	12.1 	12.4 	13.3 	12.3 	12.2 	11.3 	11.6 	10.8 	11.1 	10.4 	: 
